feature,mean_active_vs_outside_effect,mean_exhaustion_vs_active_effect,mean_prebear_vs_outside_effect,overall_std,mean_ACTIVE_BEAR,mean_EXHAUSTION,mean_OUTSIDE,mean_PRE_BEAR,mean_RECOVERY,median_ACTIVE_BEAR,median_EXHAUSTION,median_OUTSIDE,median_PRE_BEAR,median_RECOVERY,abs_active_vs_outside,abs_exhaustion_vs_active,abs_prebear_vs_outside
ret_3,-0.5772751055364355,0.0025630869270033127,0.10677512654283257,0.02288259253205127,-0.008038799422661638,-0.007980149348886793,0.005170751596225512,0.007614043309463362,0.014249879670795013,-0.0076304964085512,-0.0066952209197475,0.0048609172946321,0.0096631695196023,0.0094634485153672,0.5772751055364355,0.0025630869270033127,0.10677512654283257
rolling_red_ratio_5,0.5638757822434713,0.28912388857291577,-0.15725501583621115,0.21807208571742537,0.5006928406466513,0.5637426900584795,0.37772727272727274,0.3434343434343434,0.35398230088495575,0.6,0.6,0.4,0.4,0.4,0.5638757822434713,0.28912388857291577,0.15725501583621115
rolling_green_ratio_5,-0.5185646418827294,-0.14852987120191508,0.3404392005399813,0.2211937702344202,0.428175519630485,0.3953216374269006,0.5428787878787878,0.6181818181818182,0.5504424778761062,0.4,0.4,0.6,0.6,0.6,0.5185646418827294,0.14852987120191508,0.3404392005399813
atr,0.4976996498123486,0.22607067622630173,-0.17529557466729045,105.67110063007962,311.4146502316513,335.303787408671,258.8221804527752,240.29850414210034,366.97887820473494,296.9728866250844,317.07069002426726,232.4104493054025,233.1079795402452,319.94478347737487,0.4976996498123486,0.22607067622630173,0.17529557466729045
rolling_vol_10,0.49241142717412134,0.9587328388651987,-0.003941314653115521,0.007382099507705696,0.014574737139974286,0.021652198357782353,0.010939706985843546,0.010910611808883069,0.022000773540045093,0.0137390573384939,0.0189870283778302,0.0099250650686387,0.0094836762739374,0.0165930839582923,0.49241142717412134,0.9587328388651987,0.003941314653115521
range,0.4866045469547479,0.22996563138943507,-0.12087695624879119,199.185131399289,314.945727482679,360.7514619883041,218.02133685800604,193.94444444444446,332.52433628318585,295.0,327.75,198.125,195.0,290.25,0.4866045469547479,0.22996563138943507,0.12087695624879119
tick_volume,0.47442409001578173,-0.11835729901826228,-0.08774132024945322,611401.4515926156,965970.3741339492,893606.5497076024,675906.7968277945,622261.6262626263,867705.6725663717,1001375.0,977012.0,678466.0,618177.0,917190.0,0.47442409001578173,0.11835729901826228,0.08774132024945322
real_volume,0.46480779051711313,-0.1319858207156055,-0.088181133105935,682883.4315195982,1091604.064665127,1001473.1345029239,774194.5256797583,713977.0909090909,971593.8672566372,1153784.0,1113633.0,812924.5,774221.0,1043066.0,0.46480779051711313,0.1319858207156055,0.088181133105935
body,-0.3624554227900766,0.1662487279973802,0.08367115168301957,202.06705989556937,-48.286374133949195,-14.692982456140351,24.95392749244713,41.861111111111114,43.008849557522126,-12.25,-10.75,11.875,18.75,13.25,0.3624554227900766,0.1662487279973802,0.08367115168301957
body_abs,0.3567623642691732,0.18812716334502028,-0.06328080550243216,152.83923097947385,165.54503464203233,194.2982456140351,111.01774924471299,101.3459595959596,190.6946902654867,114.75,149.75,71.125,73.5,103.5,0.3567623642691732,0.18812716334502028,0.06328080550243216
upper_wick,0.3194442398068336,0.15810500767991226,-0.050641650102881235,61.230087558403085,64.75635103926096,74.43713450292398,45.19675226586103,42.0959595959596,66.98230088495575,44.25,35.5,29.0,33.25,35.0,0.3194442398068336,0.15810500767991226,0.050641650102881235
