signal_name,time,bear_window_id,hours_from_bear_start,conditions_passed,conditions_total,conditions_failed,bear_prob,exhaust_prob,daily_model_rsi,daily_model_adx,daily_model_ema20_slope_5,daily_model_ema50_slope_5,daily_model_atr,rsi70_streak,ob_streak_not_making_higher_high,rsi_rolling_over,range_pos,hh_8,high,close,open,h1_rsi,h1_ema_20,h1_ret_4,fail_is_early_window,fail_in_session,fail_upper_range_failure,fail_overbought_stall_condition
early_relaxed_signal_B,2020-02-18 17:00:00+00:00,1.0,17.0,2,4,2,0.2197375372639464,0.0138767923012155,71.53455781667317,52.29122706936608,137.78549203134207,96.22070454236382,114.86094869000816,1,0,0,0.569060773480663,9106.5,9093.5,9089.75,9060.0,52.82595766073633,9073.278030642494,0.0033667246184838,0,0,1,1
early_relaxed_signal_B,2020-02-18 18:00:00+00:00,1.0,18.0,2,4,2,0.2197375372639464,0.0138767923012155,71.53455781667317,52.29122706936608,137.78549203134207,96.22070454236382,114.86094869000816,1,0,0,0.6193181818181818,9106.5,9107.75,9094.25,9090.25,53.88166647068913,9075.275361057496,-0.0007416767388198,0,0,1,1
early_relaxed_signal_B,2020-02-18 19:00:00+00:00,1.0,19.0,2,4,2,0.2197375372639464,0.0138767923012155,71.53455781667317,52.29122706936608,137.78549203134207,96.22070454236382,114.86094869000816,1,0,0,1.023041474654378,9107.75,9126.5,9123.5,9094.25,60.12777548048339,9079.868183813924,0.0028579280021983,0,0,1,1
early_relaxed_signal_B,2020-02-19 00:00:00+00:00,1.0,24.0,2,4,2,0.2274536257589622,0.0198395275720481,73.88768536914013,51.781554667791646,137.5440165997843,97.75126514854492,113.88873806929332,2,0,0,0.9751434034416826,9143.25,9147.75,9140.0,9142.75,62.57717383184014,9099.018602398291,0.0028252461804316,0,1,0,1
early_relaxed_signal_B,2020-02-19 04:00:00+00:00,1.0,28.0,2,4,2,0.2274536257589622,0.0198395275720481,73.88768536914013,51.781554667791646,137.5440165997843,97.75126514854492,113.88873806929332,2,0,0,0.92091388400703,9156.25,9156.25,9145.0,9152.5,62.343146862196576,9114.331990184892,0.0005470459518599,0,1,0,1
early_relaxed_signal_B,2020-02-19 14:00:00+00:00,1.0,38.0,2,4,2,0.2274536257589622,0.0198395275720481,73.88768536914013,51.781554667791646,137.5440165997843,97.75126514854492,113.88873806929332,2,0,0,1.3238095238095238,9164.75,9196.0,9190.25,9161.0,71.6548265485263,9141.319574364992,0.004563589659507,0,0,1,1
early_relaxed_signal_B,2020-02-19 15:00:00+00:00,1.0,39.0,2,4,2,0.2274536257589622,0.0198395275720481,73.88768536914013,51.781554667791646,137.5440165997843,97.75126514854492,113.88873806929332,2,0,0,1.0340909090909092,9196.0,9201.75,9199.75,9190.0,73.5807598512112,9146.884376806422,0.0054921033936281,0,0,1,1
early_relaxed_signal_B,2020-02-19 16:00:00+00:00,1.0,40.0,2,4,2,0.2274536257589622,0.0198395275720481,73.88768536914013,51.781554667791646,137.5440165997843,97.75126514854492,113.88873806929332,2,0,0,1.1170212765957446,9201.75,9217.0,9212.75,9199.5,75.9853588190498,9153.157293301048,0.0054294445050746,0,0,1,1
early_relaxed_signal_B,2020-02-19 17:00:00+00:00,1.0,41.0,2,4,2,0.2274536257589622,0.0198395275720481,73.88768536914013,51.781554667791646,137.5440165997843,97.75126514854492,113.88873806929332,2,0,0,0.985781990521327,9217.0,9222.75,9215.5,9212.75,76.47317882825925,9159.094693939043,0.0059216809933142,0,0,1,1
early_relaxed_signal_B,2020-02-19 18:00:00+00:00,1.0,42.0,2,4,2,0.2274536257589622,0.0198395275720481,73.88768536914013,51.781554667791646,137.5440165997843,97.75126514854492,113.88873806929332,2,0,0,0.9060240963855422,9222.75,9217.75,9213.0,9215.75,74.98199058152291,9164.228532611514,0.002475449525312,0,0,1,1
