signal_time,entry_time,entry,d_rsi10,d_atr7,d_atr14,h1_atr14,pullback_depth_atr,bars_since_20bar_high,close_loc,body_ratio,dist_prev_day_high,dist_prev_day_low,dist_prev_day_close,max_favorable_points,max_adverse_points,final_move_points
2025-10-10 20:00:00+00:00,2025-10-11 04:00:00+00:00,24188.25,39.388170786967265,454.17911808527845,380.17353009517143,130.76956326154183,9.174535496463157,7.0,0.10508182601205857,0.7381567614125754,-1191.0,-972.5,-1146.75,1444.5,0.0,1251.75
2025-10-16 17:00:00+00:00,2025-10-16 18:00:00+00:00,25380.25,50.4769014818379,519.6989429012298,449.10258502318663,101.65134066799448,3.096368409227493,3.0,0.2826086956521739,0.45108695652173914,-252.75,201.5,-78.25,502.75,455.0,426.0
2025-10-16 18:00:00+00:00,2025-10-16 19:00:00+00:00,25313.25,50.4769014818379,519.6989429012298,449.10258502318663,110.71195919170916,3.44587886245779,4.0,0.6783369803063457,0.29321663019693656,-319.5,134.75,-145.0,569.75,388.0,466.75
2025-10-16 20:00:00+00:00,2025-10-16 22:00:00+00:00,25308.75,50.4769014818379,519.6989429012298,449.10258502318663,113.42893420101454,3.4030117863573075,6.0,0.4416475972540046,0.33867276887871856,-324.0,130.25,-149.5,574.25,383.5,451.25
2025-10-16 22:00:00+00:00,2025-10-16 23:00:00+00:00,25257.0,50.4769014818379,519.6989429012298,449.10258502318663,113.75543890094208,3.8415745587385794,7.0,0.019067796610169493,0.4322033898305085,-375.0,79.25,-200.5,626.0,331.75,484.0
2025-10-17 01:00:00+00:00,2025-10-17 02:00:00+00:00,25273.5,54.765778536331354,537.4562367724827,463.0238289501019,104.95515643781698,4.02076481349464,10.0,0.2676056338028169,0.18544600938967137,-422.0,114.5,-2.25,609.5,348.25,532.25
2025-10-20 08:00:00+00:00,2025-10-20 09:00:00+00:00,25589.25,58.0399350359632,520.7741899208638,469.5431312694511,110.5941939532228,0.7143232133272208,1.0,0.1070110701107011,0.6937269372693727,-26.25,86.25,61.5,293.75,269.0,-100.75
2025-10-20 10:00:00+00:00,2025-10-20 11:00:00+00:00,25556.0,58.0399350359632,520.7741899208638,469.5431312694511,102.45111621476863,1.085883727872581,3.0,0.03515625,0.7109375,-58.5,54.0,29.25,327.0,235.75,119.5
2025-10-26 23:00:00+00:00,2025-10-27 00:00:00+00:00,26232.0,60.151892420749064,498.1891801455842,467.0360079823735,133.65973910946929,0.5293291792381453,1.0,0.23076923076923078,0.11538461538461539,722.0,722.0,722.0,661.5,9.5,640.0
2025-10-27 01:00:00+00:00,2025-10-27 02:00:00+00:00,26233.0,63.270271085651125,472.51929726764365,456.4262931264897,119.25253015051179,0.5848932505831672,3.0,0.3411764705882353,0.21176470588235294,-69.75,19.75,1.0,681.5,5.75,488.5
2025-10-30 14:00:00+00:00,2025-10-30 15:00:00+00:00,26531.5,64.39746487160423,446.57629215688354,444.27562536402985,107.3464561860238,3.407192123475238,11.0,0.19053549190535493,0.539227895392279,-361.5,-30.5,-218.75,256.5,547.75,-261.0
