signal_time,trigger,label,return_pct,r_multiple,entry_time,exit_time,exit_reason,prob_target_hit_first,pred_label,fold_train_start,fold_train_end,fold_test_start,fold_test_end,threshold
2022-06-30 05:00:00,atr_breakdown,1,0.6511576646492045,1.5000000000000102,2022-06-30 06:00:00,2022-06-30 06:00:00,target,0.5199541277959712,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
2022-06-30 06:00:00,atr_breakdown,0,-0.45242801000248134,-0.999999999999995,2022-06-30 07:00:00,2022-06-30 12:00:00,stop,0.5005411848219568,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
2022-07-18 18:00:00,atr_breakdown,0,-0.5164337218854231,-0.9999999999999958,2022-07-18 19:00:00,2022-07-19 09:00:00,stop,0.5314682813767168,1,2022-01-01,2022-07-01,2022-07-01,2022-09-01,0.5
2022-07-18 19:00:00,atr_breakdown,0,-0.5609134961151674,-1.0000000000000078,2022-07-18 20:00:00,2022-07-19 09:00:00,stop,0.5129874272983037,1,2022-01-01,2022-07-01,2022-07-01,2022-09-01,0.5
2022-07-22 17:00:00,atr_breakdown,0,-0.45935293617263007,-1.0000000000000044,2022-07-22 18:00:00,2022-07-24 22:00:00,stop,0.5726777762170508,1,2022-01-01,2022-07-01,2022-07-01,2022-09-01,0.5
2022-07-25 14:00:00,atr_breakdown,0,-0.34192294273039936,-1.0,2022-07-25 15:00:00,2022-07-25 16:00:00,stop,0.5163455577614697,1,2022-01-01,2022-07-01,2022-07-01,2022-09-01,0.5
2022-07-26 14:00:00,atr_breakdown,1,0.4875828181777786,1.4999999999999805,2022-07-26 15:00:00,2022-07-26 15:00:00,target,0.5013197645724381,1,2022-01-01,2022-07-01,2022-07-01,2022-09-01,0.5
2022-08-30 13:00:00,atr_breakdown,1,0.5862035103898489,1.4999999999999842,2022-08-30 14:00:00,2022-08-30 14:00:00,target,0.5227113787491455,1,2022-01-01,2022-07-01,2022-07-01,2022-09-01,0.5
2022-09-01 15:00:00,atr_breakdown,0,-0.467623695656616,-1.0,2022-09-01 16:00:00,2022-09-01 17:00:00,stop,0.5294905701833016,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-09-02 17:00:00,atr_breakdown,0,-0.4254279723980736,-0.5705928237129485,2022-09-02 18:00:00,2022-09-05 15:00:00,time,0.6437259409826044,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-09-06 13:00:00,atr_breakdown,0,-0.4649155043778941,-0.9999999999999862,2022-09-06 14:00:00,2022-09-06 14:00:00,stop,0.6543144938937951,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-09-13 13:00:00,atr_breakdown,1,0.830991273506787,1.5000000000000078,2022-09-13 14:00:00,2022-09-13 15:00:00,target,0.5115588492744175,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-09-15 14:00:00,atr_breakdown,0,-0.4711123666260475,-0.9999999999999863,2022-09-15 15:00:00,2022-09-15 15:00:00,stop,0.563583170439697,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-09-20 17:00:00,atr_breakdown,0,-0.45942173598884084,-1.0000000000000095,2022-09-20 18:00:00,2022-09-20 18:00:00,stop,0.6524123056090511,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-09-21 19:00:00,rsi_rollover,1,1.3117133702713835,1.5000000000000027,2022-09-21 20:00:00,2022-09-22 01:00:00,target,0.6561931681642117,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-09-21 19:00:00,atr_breakdown,1,1.3117133702713835,1.5000000000000027,2022-09-21 20:00:00,2022-09-22 01:00:00,target,0.6561931681642117,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-09-22 13:00:00,atr_breakdown,0,-0.5813288344288181,-0.9999999999999886,2022-09-22 14:00:00,2022-09-22 19:00:00,stop,0.5130030058037247,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-09-23 13:00:00,atr_breakdown,0,-0.4336418742064141,-0.9999999999999947,2022-09-23 14:00:00,2022-09-23 14:00:00,stop,0.5000681075828974,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-09-27 15:00:00,atr_breakdown,1,0.8429797139480888,1.4999999999999918,2022-09-27 16:00:00,2022-09-27 16:00:00,target,0.6458190534945282,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-09-27 16:00:00,atr_breakdown,0,-0.6089634793980059,-0.9999999999999963,2022-09-27 17:00:00,2022-09-27 22:00:00,stop,0.7120348851975713,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-09-29 07:00:00,atr_breakdown,0,-0.45464790045931514,-1.000000000000005,2022-09-29 08:00:00,2022-09-29 09:00:00,stop,0.5012324838369246,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-09-29 13:00:00,atr_breakdown,1,0.8951912164143927,1.4999999999999922,2022-09-29 14:00:00,2022-09-29 14:00:00,target,0.6624461796061193,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-09-29 14:00:00,atr_breakdown,1,0.9690333602042189,1.4999999999999964,2022-09-29 15:00:00,2022-09-29 18:00:00,target,0.7138265381759701,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-09-30 19:00:00,atr_breakdown,1,1.2177732774708128,1.4999999999999911,2022-09-30 20:00:00,2022-10-03 00:00:00,target,0.6941952318810549,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-10-07 13:00:00,atr_breakdown,1,0.8560445564960606,1.4999999999999878,2022-10-07 14:00:00,2022-10-07 16:00:00,target,0.623715981200651,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-10-07 15:00:00,atr_breakdown,1,0.9512988888674911,1.5000000000000038,2022-10-07 16:00:00,2022-10-07 19:00:00,target,0.6579455775036547,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-10-07 16:00:00,atr_breakdown,1,1.0003524014505771,1.5000000000000107,2022-10-07 17:00:00,2022-10-09 22:00:00,target,0.6207050884705836,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-10-10 16:00:00,atr_breakdown,0,-0.6094211552265749,-0.9999999999999921,2022-10-10 17:00:00,2022-10-10 17:00:00,stop,0.5280376448992766,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-10-14 14:00:00,atr_breakdown,1,1.3610114144019025,1.5000000000000053,2022-10-14 15:00:00,2022-10-14 18:00:00,target,0.6704848243174834,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-10-14 15:00:00,atr_breakdown,0,-0.9232170299960152,-1.0,2022-10-14 16:00:00,2022-10-17 12:00:00,stop,0.7187543373539834,1,2022-03-01,2022-09-01,2022-09-01,2022-11-01,0.5
2022-11-01 13:00:00,atr_breakdown,1,0.4843676414794995,1.4999999999999791,2022-11-01 14:00:00,2022-11-01 14:00:00,target,0.5710335103680247,1,2022-05-01,2022-11-01,2022-11-01,2023-01-01,0.5
