combo,trades,final_capital_usd,total_pnl_usd,total_return_pct,win_rate_pct,profit_factor,sharpe,max_drawdown_usd,max_drawdown_pct,avg_winner_usd,avg_loser_usd,avg_pnl_per_trade_usd,avg_bars_held,post_2024_trades,post_2024_total_pnl_usd,post_2024_return_pct,post_2024_win_rate_pct,post_2024_profit_factor,post_2024_sharpe,post_2024_max_drawdown_usd,tighten_mode,rsi_threshold,atr_stretch_threshold,tighten_factor,force_exit,score
either_rsi30_atr1.4_tf0.75_force0,183,23392.0,18392.0,367.84,91.80327868852459,7.5685714285714285,12.594036538280326,-448.25,-8.965,126.14285714285714,-200.0,100.50273224043715,1.8907103825136613,75,10050.75,201.015,96.0,17.75125,14.994469425816652,-400.0,either,30,1.4,0.75,False,895.1369805447698
either_rsi30_atr1.5_tf1.0_force0,183,26784.5,21784.5,435.69000000000005,90.1639344262295,7.407205882352941,11.968454728320632,-400.0,-8.0,152.63333333333333,-200.0,119.04098360655738,2.1366120218579234,75,12430.0,248.60000000000002,94.66666666666667,16.5375,14.065254195405965,-400.0,either,30,1.5,1.0,False,884.5030697631939
either_rsi32_atr1.25_tf0.5_force0,183,18959.5,13959.5,279.19,93.44262295081968,7.97975,12.663393976697787,-400.0,-8.0,93.33040935672514,-200.0,76.28142076502732,1.5027322404371584,75,7421.25,148.425,97.33333333333334,19.553125,15.494523147103816,-200.0,either,32,1.25,0.5,False,882.752812359521
either_rsi35_atr1.4_tf0.5_force0,183,18823.75,13823.75,276.47499999999997,92.89617486338798,7.283522727272727,12.580142109662562,-525.5,-10.51,94.25735294117646,-200.0,75.5396174863388,1.825136612021858,75,7456.75,149.135,97.33333333333334,19.641875,16.314064996467643,-200.0,either,35,1.4,0.5,False,881.7225572163715
either_rsi28_atr1.25_tf0.5_force0,183,18764.0,13764.0,275.28000000000003,93.44262295081968,7.256363636363637,12.229069635041157,-400.0,-8.0,93.35672514619883,-200.0,75.21311475409836,1.5191256830601092,75,7421.25,148.425,97.33333333333334,19.553125,15.494523147103816,-200.0,either,28,1.25,0.5,False,856.4494765453779
either_rsi30_atr1.25_tf0.5_force0,183,18764.0,13764.0,275.28000000000003,93.44262295081968,7.256363636363637,12.229069635041157,-400.0,-8.0,93.35672514619883,-200.0,75.21311475409836,1.5191256830601092,75,7421.25,148.425,97.33333333333334,19.553125,15.494523147103816,-200.0,either,30,1.25,0.5,False,856.4494765453779
either_rsi28_atr1.4_tf0.75_force0,183,23130.125,18130.125,362.60249999999996,91.2568306010929,7.043375,12.229389965825558,-448.25,-8.965,126.52769461077844,-200.0,99.07172131147541,1.8907103825136613,75,9781.375,195.6275,94.66666666666667,13.22671875,14.097682005786517,-400.0,either,28,1.4,0.75,False,855.1942642613692
either_rsi32_atr1.5_tf0.75_force0,183,22941.75,17941.75,358.83500000000004,90.1639344262295,6.606796875,12.076102652615768,-448.25,-8.965,128.13181818181818,-200.0,98.04234972677595,2.1038251366120218,75,9932.5,198.65,94.66666666666667,13.415625,14.573666967732063,-400.0,either,32,1.5,0.75,False,851.8128431700354
atr_exhaust_rsi25_atr1.4_tf0.75_force0,183,22944.375,17944.375,358.8875,90.7103825136612,6.6076171875,11.95487621246576,-448.25,-8.965,127.3757530120482,-200.0,98.05669398907104,1.9726775956284153,75,9781.375,195.6275,94.66666666666667,13.22671875,14.097682005786517,-400.0,atr_exhaust,25,1.4,0.75,False,838.6875141773743
atr_exhaust_rsi28_atr1.4_tf0.75_force0,183,22944.375,17944.375,358.8875,90.7103825136612,6.6076171875,11.95487621246576,-448.25,-8.965,127.3757530120482,-200.0,98.05669398907104,1.9726775956284153,75,9781.375,195.6275,94.66666666666667,13.22671875,14.097682005786517,-400.0,atr_exhaust,28,1.4,0.75,False,838.6875141773743
atr_exhaust_rsi30_atr1.4_tf0.75_force0,183,22944.375,17944.375,358.8875,90.7103825136612,6.6076171875,11.95487621246576,-448.25,-8.965,127.3757530120482,-200.0,98.05669398907104,1.9726775956284153,75,9781.375,195.6275,94.66666666666667,13.22671875,14.097682005786517,-400.0,atr_exhaust,30,1.4,0.75,False,838.6875141773743
atr_exhaust_rsi32_atr1.4_tf0.75_force0,183,22944.375,17944.375,358.8875,90.7103825136612,6.6076171875,11.95487621246576,-448.25,-8.965,127.3757530120482,-200.0,98.05669398907104,1.9726775956284153,75,9781.375,195.6275,94.66666666666667,13.22671875,14.097682005786517,-400.0,atr_exhaust,32,1.4,0.75,False,838.6875141773743
atr_exhaust_rsi35_atr1.4_tf0.75_force0,183,22944.375,17944.375,358.8875,90.7103825136612,6.6076171875,11.95487621246576,-448.25,-8.965,127.3757530120482,-200.0,98.05669398907104,1.9726775956284153,75,9781.375,195.6275,94.66666666666667,13.22671875,14.097682005786517,-400.0,atr_exhaust,35,1.4,0.75,False,838.6875141773743
either_rsi25_atr1.4_tf0.75_force0,183,22923.75,17923.75,358.475,90.7103825136612,6.601171875,11.942068414325117,-448.25,-8.965,127.25150602409639,-200.0,97.94398907103825,1.9726775956284153,75,9781.375,195.6275,94.66666666666667,13.22671875,14.097682005786517,-400.0,either,25,1.4,0.75,False,838.1352879738582
either_rsi28_atr1.5_tf1.0_force0,183,26257.5,21257.5,425.15,89.07103825136612,6.594078947368421,11.445107372775553,-600.0,-12.0,153.72699386503066,-200.0,116.16120218579235,2.1366120218579234,75,12137.5,242.75000000000003,93.33333333333333,13.1375,13.408706225884883,-400.0,either,28,1.5,1.0,False,836.8208877844548
atr_exhaust_rsi25_atr1.25_tf0.5_force0,183,18653.5,13653.5,273.07,92.89617486338798,6.688958333333333,11.886389313545786,-400.0,-8.0,94.43235294117648,-200.0,74.60928961748634,1.6010928961748634,75,7421.25,148.425,97.33333333333334,19.553125,15.494523147103816,-200.0,atr_exhaust,25,1.25,0.5,False,835.9818624473876
atr_exhaust_rsi28_atr1.25_tf0.5_force0,183,18653.5,13653.5,273.07,92.89617486338798,6.688958333333333,11.886389313545786,-400.0,-8.0,94.43235294117648,-200.0,74.60928961748634,1.6010928961748634,75,7421.25,148.425,97.33333333333334,19.553125,15.494523147103816,-200.0,atr_exhaust,28,1.25,0.5,False,835.9818624473876
atr_exhaust_rsi30_atr1.25_tf0.5_force0,183,18653.5,13653.5,273.07,92.89617486338798,6.688958333333333,11.886389313545786,-400.0,-8.0,94.43235294117648,-200.0,74.60928961748634,1.6010928961748634,75,7421.25,148.425,97.33333333333334,19.553125,15.494523147103816,-200.0,atr_exhaust,30,1.25,0.5,False,835.9818624473876
atr_exhaust_rsi32_atr1.25_tf0.5_force0,183,18653.5,13653.5,273.07,92.89617486338798,6.688958333333333,11.886389313545786,-400.0,-8.0,94.43235294117648,-200.0,74.60928961748634,1.6010928961748634,75,7421.25,148.425,97.33333333333334,19.553125,15.494523147103816,-200.0,atr_exhaust,32,1.25,0.5,False,835.9818624473876
atr_exhaust_rsi35_atr1.25_tf0.5_force0,183,18653.5,13653.5,273.07,92.89617486338798,6.688958333333333,11.886389313545786,-400.0,-8.0,94.43235294117648,-200.0,74.60928961748634,1.6010928961748634,75,7421.25,148.425,97.33333333333334,19.553125,15.494523147103816,-200.0,atr_exhaust,35,1.25,0.5,False,835.9818624473876
either_rsi25_atr1.25_tf0.5_force0,183,18599.75,13599.75,271.995,92.89617486338798,6.6665625,11.846173885272563,-400.0,-8.0,94.11617647058823,-200.0,74.31557377049181,1.6010928961748634,75,7421.25,148.425,97.33333333333334,19.553125,15.494523147103816,-200.0,either,25,1.25,0.5,False,834.2598100738904
either_rsi30_atr1.5_tf0.75_force0,183,22588.75,17588.75,351.775,90.1639344262295,6.173161764705882,11.772246057264647,-448.25,-8.965,127.20454545454545,-200.0,96.11338797814207,2.1366120218579234,75,9932.5,198.65,94.66666666666667,13.415625,14.573666967732063,-400.0,either,30,1.5,0.75,False,833.7787260803751
