signal_time,trigger,entry_time,entry_price,exit_time,exit_price,exit_reason,bars_held,pnl_usd,return_pct,r_multiple,rf_prob,risk_usd,tighten_mode,rsi_threshold,atr_stretch_threshold,tighten_factor,force_exit,capital_before,capital_after
2022-06-03 12:00:00,atr_breakdown,2022-06-03 13:00:00,12908.25,2022-06-03 13:00:00,12802.5,tightened_stop,1,211.5,0.8260105448154587,1.0575,0.5291780587874239,200.0,either,35,1.1,1.0,False,8065.0,8276.5
2022-06-03 15:00:00,atr_breakdown,2022-06-03 16:00:00,12740.25,2022-06-03 16:00:00,12719.0,tightened_stop,1,42.5,0.16707288308830393,0.2125,0.5870221860031144,200.0,either,35,1.1,1.0,False,8276.5,8319.0
2022-06-06 16:00:00,atr_breakdown,2022-06-06 17:00:00,12798.0,2022-06-06 19:00:00,12738.0,target,3,120.0,0.47103155911445427,0.6,0.5758620078447335,200.0,either,35,1.1,1.0,False,8319.0,8439.0
2022-06-07 01:00:00,atr_breakdown,2022-06-07 02:00:00,12719.75,2022-06-07 11:00:00,12659.75,target,10,120.0,0.4739430083532392,0.6,0.5821985909373869,200.0,either,35,1.1,1.0,False,8439.0,8559.0
2022-06-09 12:00:00,atr_breakdown,2022-06-09 13:00:00,12750.0,2022-06-09 13:00:00,12699.25,tightened_stop,1,101.5,0.39962989940349747,0.5075,0.6753910587557295,200.0,either,35,1.1,1.0,False,8559.0,8660.5
2022-06-09 18:00:00,atr_breakdown,2022-06-09 19:00:00,12633.0,2022-06-09 19:00:00,12463.25,tightened_stop,1,339.5,1.3620042926203002,1.6975,0.6312165971751669,200.0,either,35,1.1,1.0,False,8660.5,9000.0
2022-06-10 13:00:00,atr_breakdown,2022-06-10 14:00:00,12147.25,2022-06-10 14:00:00,12045.5,tightened_stop,1,203.5,0.8447137935328586,1.0175,0.5132285566540234,200.0,either,35,1.1,1.0,False,9000.0,9203.5
2022-06-13 19:00:00,atr_breakdown,2022-06-13 20:00:00,11490.5,2022-06-13 20:00:00,11465.75,tightened_stop,1,49.5,0.21586027952815723,0.2475,0.5021178145626932,200.0,either,35,1.1,1.0,False,9203.5,9253.0
2022-06-16 06:00:00,atr_breakdown,2022-06-16 07:00:00,11639.5,2022-06-16 07:00:00,11478.0,tightened_stop,1,323.0,1.4070395539292457,1.615,0.6114158963728351,200.0,either,35,1.1,1.0,False,9253.0,9576.0
2022-06-16 07:00:00,atr_breakdown,2022-06-16 08:00:00,11531.25,2022-06-16 08:00:00,11455.0,tightened_stop,1,152.5,0.6656481885639387,0.7625,0.5523614768726248,200.0,either,35,1.1,1.0,False,9576.0,9728.5
