time,open,high,low,close,tick_volume,spread,real_volume,ema100,ema_slope_1,ema_slope_n,ema_slope_pct_n,above_ema,below_ema,dist_pct,ret_1d,fwd_ret_1,fwd_ret_3,fwd_ret_5,fwd_ret_10,fwd_ret_20,above_ema_rising,above_ema_falling,below_ema_falling,below_ema_rising,above_ema_band,below_ema_band,above_rising_band,above_rising,below_falling,buyhold_position,long_above_ema,long_above_rising,long_above_rising_band
2025-01-16,22010.0,22161.0,21766.0,21828.5,1495427,0,1643983,21464.32107954271,7.357149908228166,79.45277662274384,0.0037153736697034074,True,False,1.6966710435783572,-0.008234986767228114,0.016308953890555866,0.014247428820120422,0.026353162150399623,0.004271938062624603,0.02830015805025532,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-01-17,21828.5,22274.25,21821.0,22184.5,1347290,0,1489483,21478.582048264638,14.260968721926474,74.2952958975402,0.0034710474942279443,True,False,3.286613381409853,0.016308953890555866,-0.026786720457977364,0.006389596339786863,0.016914963149947004,-0.0020171741531249676,-0.0006648786314769062,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-01-18,21590.25,21590.25,21590.25,21590.25,1,75,1,21480.793294833653,2.211246569015202,64.96271578075539,0.0030333969789757428,True,False,0.5095561586762942,-0.026786720457977364,0.02543972394946792,0.03767904493926655,0.04700038211692781,0.025127082826738922,-0.0006831787496670572,True,False,False,False,False,False,False,True,False,1,1,1,0
2025-01-19,22195.25,22213.0,22121.5,22139.5,26989,0,30640,21493.83699196566,13.043697132008674,68.1862263593539,0.0031824576581267893,True,False,3.0039448437042093,0.02543972394946792,0.008435149845299028,0.018981910160572824,0.016418618306646593,0.006922017209060716,0.004494229770320102,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-01-20,22140.25,22374.25,22129.75,22326.25,543951,0,601792,21510.32041786733,16.483425901667943,76.62313276807618,0.0035748910581724375,True,False,3.793200502280425,0.008435149845299028,0.003471250209954757,0.01248530317451424,-0.0029897542130900012,-0.007200044790325322,0.0028777783998656936,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-01-21,22326.25,22414.25,21964.5,22403.75,1355931,0,1490405,21528.012092761044,17.691674893714662,91.20980340633105,0.004254823185621526,True,False,4.067899550899212,0.003471250209954757,0.006963120013390611,0.00443006193159623,-0.02151425542598895,-0.03715895776376721,-2.2317692350615204e-05,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-01-22,22404.0,22688.25,22398.5,22559.75,1065528,0,1184012,21548.442546369737,20.430453608692915,108.55218353689997,0.0050630941529944025,True,False,4.693181196061147,0.006963120013390611,0.002005784638570818,-0.013309101386318578,-0.018617227584525553,-0.0377552942740943,-0.003446403439754442,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-01-23,22559.75,22645.5,22449.75,22605.0,1018833,0,1170784,21569.364476144594,20.921929774856835,125.5164967341916,0.005853263689180596,True,False,4.801418813246938,0.002005784638570818,-0.004512276045122721,-0.03022561380225619,-0.020891395708913962,-0.01942048219420478,0.003306790533067927,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-01-24,22605.5,22672.25,22437.5,22503.0,1090499,0,1264401,21587.852308300146,18.487832155551587,142.0557740265831,0.006623944874211452,True,False,4.239178954119471,-0.004512276045122721,-0.010820779451628626,-0.016142292138825898,-0.009343198684619858,-0.015164644714038111,0.01307603430653681,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-01-26,22368.0,22368.25,22226.5,22259.5,50980,0,60147,21601.152262591233,13.299954291087488,144.18833295674995,0.006719885135175607,True,False,3.0477436083300447,-0.010820779451628626,-0.015173296794626978,-0.005694197982883731,-0.004222916058312154,0.004874323322626273,0.024921943439879524,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-01-27,22260.0,22267.5,21358.0,21921.75,2361732,0,2597528,21607.50073263893,6.348470047698356,143.17965309622014,0.006670588488013361,True,False,1.4543526863631362,-0.015173296794626978,0.009944461550742911,0.016923831354704877,-0.01598868703456613,0.023926009556718864,0.04210430280429245,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-01-28,21921.5,22220.25,21755.0,22139.75,1520869,0,1797399,21618.040322091623,10.539589452691871,139.45827382698553,0.0064928994620598365,True,False,2.413306988678521,0.009944461550742911,-0.000316173398525299,0.0011630664302895166,-0.019501123544755528,0.001355028850822615,0.030352646258426486,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-01-29,22141.5,22291.5,21962.25,22132.75,1623431,0,1829674,21628.232592941295,10.192270849671331,147.43929810764166,0.0068637734223299055,True,False,2.3326797734890325,-0.000316173398525299,0.007229106188792578,-0.02536964453129409,0.0015022986298585117,-0.02517762139815427,0.02801278648157135,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-01-30,22132.75,22343.0,22013.25,22292.75,1633401,0,1809747,21641.39135347711,13.158760535814508,147.5543615114475,0.006864961410408152,True,False,3.009781745933071,0.007229106188792578,-0.005708133810319538,-0.026230500947617474,-0.005876349934395675,-0.0024110977784257415,-0.001749447690392647,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-01-31,22292.5,22560.0,22125.75,22165.5,1604488,0,1773042,21651.769742517165,10.378389040055481,141.44932464983503,0.00657588180473321,True,False,2.3726940734735136,-0.005708133810319538,-0.026809681712571365,2.2557578218451724e-05,0.009135819178452964,0.010150910198281071,0.0084252554645734,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-02-01,21571.25,21571.25,21571.25,21571.25,4,100,4,21650.17529217029,-1.5944503468745097,122.16319940924586,0.0056746158857056824,False,True,-0.36454805148313785,-0.026809681712571365,0.006339456452454151,0.027374398794691945,0.04056324969577574,0.03856985571072613,0.018925653358057515,False,False,False,True,False,False,False,False,False,1,0,0,0
2025-02-02,21874.5,21874.5,21534.5,21708.0,96348,0,111191,21651.32033588969,1.1450437193998368,102.87778951995278,0.004774256389925712,True,False,0.26178386920985286,0.006339456452454151,0.021098212640501268,0.030403537866224406,0.021270960014741158,0.03565505804311764,0.005147871752349431,True,False,False,False,False,False,False,True,False,1,1,1,0
2025-02-03,21708.5,22194.25,21569.75,22166.0,2050568,0,2217157,21661.512012406725,10.191676517035376,92.14753626213133,0.004272148878750933,True,False,2.328960172790917,0.021098212640501268,-0.00019173508977710085,0.01264323739059825,-0.026639898944329166,0.023177388793647946,-0.016184697284128857,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-02-04,22166.0,22289.0,21835.0,22161.75,1287523,0,1416030,21671.417715131345,9.905702724619914,83.56540683119965,0.003870945828134568,True,False,2.262575948256007,-0.00019173508977710085,0.009306575518630122,0.0003609823231469633,0.003485735557887004,0.028675533294979072,-0.04037361670445705,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-02-05,22161.5,22389.75,22023.25,22368.0,1203027,0,1322717,21685.211423742603,13.793708611257898,84.05916115137006,0.003891420241361073,True,False,3.148636934707616,0.009306575518630122,0.003498301144492233,-0.035430078683834076,0.0010059012875536233,0.019950375536480713,-0.038615432761087254,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-02-06,22367.0,22476.25,22300.25,22446.25,1133552,0,1247933,21700.281494559582,15.070070816978841,92.78076192065055,0.004293914556277292,True,False,3.4375982893467993,0.003498301144492233,-0.012318315977056349,-0.009233168123851443,-0.0019156874756361963,0.01775352230328009,-0.06844127638246922,True,False,False,False,True,False,True,True,False,1,1,1,1
