family,signal_time,trigger,entry_time,entry_price,exit_time,exit_price,exit_reason,bars_held,pnl_usd,return_pct,r_multiple,rf_prob,risk_usd,capital_before,capital_after
trail_only_no_target,2022-09-21 19:00:00,rsi_rollover,2022-09-21 20:00:00,11753.0,2022-09-21 20:00:00,11723.125,trail_or_tightened_stop,1,59.75,0.2548381937410138,0.2944904066185531,0.6784263675718224,202.89285714285714,5573.75,5633.5
trail_only_no_target,2022-09-21 19:00:00,atr_breakdown,2022-09-21 20:00:00,11753.0,2022-09-21 20:00:00,11723.125,trail_or_tightened_stop,1,59.75,0.2548381937410138,0.2944904066185531,0.6784263675718224,202.89285714285714,5633.5,5693.25
trail_only_no_target,2022-09-27 15:00:00,atr_breakdown,2022-09-27 16:00:00,11391.25,2022-09-27 16:00:00,11335.5,trail_or_tightened_stop,1,111.5,0.49181774072604156,0.8781997187060478,0.5191314894203926,126.96428571428571,5693.25,5804.75
trail_only_no_target,2022-09-27 16:00:00,atr_breakdown,2022-09-27 17:00:00,11346.25,2022-09-27 17:00:00,11317.375,trail_or_tightened_stop,1,57.75,0.25513866952362463,0.41536090418700233,0.623156307240382,139.03571428571428,5804.75,5862.5
trail_only_no_target,2022-09-28 01:00:00,atr_breakdown,2022-09-28 02:00:00,11319.0,2022-09-28 02:00:00,11274.625,trail_or_tightened_stop,1,88.75,0.39358293513087617,0.5604420387911592,0.5998118695628266,158.35714285714286,5862.5,5951.25
trail_only_no_target,2022-09-28 02:00:00,atr_breakdown,2022-09-28 03:00:00,11263.5,2022-09-28 03:00:00,11261.75,trail_or_tightened_stop,1,3.5,0.01553932559326121,0.021453590192644485,0.6573276516350592,163.14285714285714,5951.25,5954.75
trail_only_no_target,2022-09-29 07:00:00,atr_breakdown,2022-09-29 08:00:00,11436.25,2022-09-29 08:00:00,11429.25,trail_or_tightened_stop,1,14.0,0.061246363497158285,0.13401709401709402,0.7075124981512566,104.46428571428571,5954.75,5968.75
trail_only_no_target,2022-09-29 13:00:00,atr_breakdown,2022-09-29 14:00:00,11303.0,2022-09-29 14:00:00,11252.625,trail_or_tightened_stop,1,100.75,0.44767332066961707,0.7534722222222222,0.7245027861611307,133.71428571428572,5968.75,6069.5
trail_only_no_target,2022-09-29 14:00:00,atr_breakdown,2022-09-29 15:00:00,11261.5,2022-09-29 15:00:00,11249.25,trail_or_tightened_stop,1,24.5,0.10889614863212049,0.17001239157372985,0.8032541613722225,144.10714285714286,6069.5,6094.0
trail_only_no_target,2022-09-30 19:00:00,atr_breakdown,2022-09-30 20:00:00,11085.0,2022-09-30 20:00:00,11077.875,trail_or_tightened_stop,1,14.25,0.06431738939101095,0.08013657360915846,0.6242628070326535,177.82142857142858,6094.0,6108.25
