time,open,high,low,close,tick_volume,spread,real_volume,ema100,ema_slope_n,ret_1d,above_ema,below_ema,above_rising,below_falling,buyhold_position,long_only_above,short_only_below_falling,long_above_short_below_falling
2021-05-23,13291.25,13297.25,13257.5,13268.75,19956,25,22655,13268.819814443546,-5.906906046258882,-0.0033238188237061372,False,True,False,True,1,0,-1,-1
2021-05-24,13268.5,13587.5,13263.25,13557.5,476662,0,564022,13274.536253761495,4.977389122972454,0.021761658031087983,True,False,True,False,1,1,0,1
2021-05-25,13557.25,13639.75,13507.75,13595.75,608355,0,715656,13280.896922003842,10.710510130438706,0.0028213166144199775,True,False,True,False,1,1,0,1
2021-05-26,13595.5,13629.5,13557.25,13608.25,477049,0,605963,13287.37916117208,14.622183197161576,0.0009194049611092048,True,False,True,False,1,1,0,1
2021-05-27,13608.0,13622.0,13521.5,13604.5,570239,25,715218,13293.65878174293,20.46134788632662,-0.0002755681296272572,True,False,True,False,1,1,0,1
2021-05-28,13604.5,13664.5,13563.75,13585.75,428705,0,565889,13299.442766262871,27.085875650953312,-0.0013782204417656096,True,False,True,False,1,1,0,1
2021-05-30,13585.75,13623.25,13585.75,13613.75,7155,25,8552,13305.666671881427,37.24259098459697,0.002060983015291784,True,False,True,False,1,1,0,1
2021-05-31,13614.0,13619.25,13552.75,13587.25,83408,0,94146,13311.242579368924,46.40115353935835,-0.001946561380956724,True,False,True,False,1,1,0,1
2021-06-01,13587.5,13674.25,13494.0,13535.75,508203,0,697741,13315.688270866569,47.759546538578434,-0.003790318129128445,True,False,True,False,1,1,0,1
2021-06-02,13535.75,13613.75,13504.25,13588.0,456688,0,571079,13321.080582334556,52.25935749820928,0.003860148126258345,True,False,True,False,1,1,0,1
2021-06-03,13588.0,13608.25,13363.5,13405.25,704518,0,901887,13322.747303476446,53.92748903289976,-0.013449367088607556,True,False,True,False,1,1,0,1
2021-06-04,13404.5,13685.25,13369.0,13665.5,486668,0,633347,13329.534485585824,54.998231824329196,0.019414035545775032,True,False,True,False,1,1,0,1
2021-06-06,13673.5,13688.0,13667.25,13668.75,7843,25,9067,13336.251624485114,55.3547024812724,0.00023782518019821453,True,False,True,False,1,1,0,1
2021-06-07,13668.25,13735.75,13592.75,13724.25,494068,25,592382,13343.934760633923,56.555599461842576,0.0040603566529493484,True,False,True,False,1,1,0,1
2021-06-08,13724.0,13818.0,13643.25,13718.5,591758,0,743740,13351.351894086718,57.693112343788016,-0.000418966428037959,True,False,True,False,1,1,0,1
2021-06-09,13719.0,13805.25,13707.75,13716.5,457405,0,600132,13358.582549649356,59.13978338648485,-0.00014578853373181655,True,False,True,False,1,1,0,1
2021-06-10,13716.25,13881.25,13627.75,13868.75,570787,0,700315,13368.684875398872,63.01820351744573,0.011099770349578986,True,False,True,False,1,1,0,1
2021-06-11,13869.5,13899.75,13833.0,13894.5,225152,0,252614,13379.097056084043,67.85447671511974,0.0018566922036953315,True,False,True,False,1,1,0,1
2021-06-13,13894.5,13926.0,13894.5,13920.0,3316,25,3764,13389.808005468518,74.11973460194895,0.0018352585555434509,True,False,True,False,1,1,0,1
2021-06-14,13920.25,14034.75,13866.25,14015.5,136596,0,154879,13402.19794595429,81.11736361973453,0.006860632183907978,True,False,True,False,1,1,0,1
2021-06-15,14015.75,14064.25,13910.5,13941.0,112539,0,125487,13412.867293559157,90.1199900827105,-0.005315543505404752,True,False,True,False,1,1,0,1
2021-06-16,13941.0,14005.25,13735.25,13796.75,96052,0,109156,13420.46893131046,90.93444572463704,-0.010347177390431117,True,False,True,False,1,1,0,1
2021-06-17,13796.75,14114.25,13751.75,14089.75,77395,25,85019,13433.72202177956,97.47039729444623,0.02123688549839642,True,False,True,False,1,1,0,1
2021-06-18,14088.25,14114.5,13966.0,14018.0,4755,25,6256,13445.291882734422,101.3571221004986,-0.00509235437108535,True,False,True,False,1,1,0,1
2021-06-19,14018.0,14018.0,14018.0,14018.0,3,0,3,13456.63263753176,105.28074344504239,0.0,True,False,True,False,1,1,0,1
2021-06-20,13779.0,13808.25,13774.25,13799.25,14089,25,15827,13463.417139758854,104.8345901094981,-0.015604936510201117,True,False,True,False,1,1,0,1
2021-06-21,13798.5,13910.0,13719.75,13895.75,590426,0,779664,13471.978186496302,103.29331109742998,0.0069931336848017,True,False,True,False,1,1,0,1
