signal_time,trigger,label,entry_time,exit_time,exit_reason,bars_held,return_pct,r_multiple,regime_age,d1_rsi14,d1_close_vs_ema_atr,d1_ema_slope_atr,d1_ret_5,h1_atr14,h1_rsi14,h1_ret_1h,h1_ret_6h,h1_ret_24h,bar_range,body_size,atr_ratio,tickvol_ratio,dist_to_recent_low_atr,dist_to_recent_high_atr,dist_to_h1_ema_atr,recent_6h_mean_ret,recent_6h_std_ret,recent_24h_mean_ret,recent_24h_std_ret,recent_24h_low_break_distance,recent_24h_high_distance,hour,dayofweek,is_us_session,trigger_atr_breakdown,trigger_rsi_rollover,prev_bar_red,prev_bar_range,prev_bar_rsi14,prev_bar_atr_ratio
2024-08-07 17:00:00,atr_breakdown,1,2024-08-07 18:00:00,2024-08-07 20:00:00,target,3,0.9821167317854096,1.5,7,28.568536724710697,-2.571011714601521,-0.24241560504070642,-0.035494506961408545,118.875,39.19388335376015,-0.009026783059917332,-0.015135440029008462,-0.016706891928130907,203.5,166.75,1.7147672214029914,2.0340286759050086,-1.2113564668769716,3.7308096740273395,-2.665865489789547,-0.0013681623358529071,0.004387637015074221,-0.00013151283599257638,0.0044639134202298075,0.7360672975814931,3.7308096740273395,17,2,1,1,0,1,145.5,46.95178783956135,1.2248763548353152
2024-08-07 19:00:00,atr_breakdown,1,2024-08-07 20:00:00,2024-08-07 23:00:00,target,3,1.0924973118026315,1.500000000000012,7,28.568536724710697,-2.571011714601521,-0.24241560504070642,-0.035494506961408545,131.05357142857142,33.855656488997525,-0.003192086912443659,-0.029297187683440917,-0.022489722438670534,196.0,57.5,1.5619085566291464,1.5444804475550566,-0.217468319934596,4.465731026025344,-3.3839754309245604,-0.003610288589113275,0.0049927515768996645,-0.0008675520952695545,0.004774022758073466,-0.217468319934596,4.479084343916066,19,2,1,1,0,1,134.0,35.930155134841584,1.1187643498225839
2024-08-07 20:00:00,atr_breakdown,0,2024-08-07 22:00:00,2024-08-08 02:00:00,stop,5,-0.7471484974775122,-1.0,7,28.568536724710697,-2.571011714601521,-0.24241560504070642,-0.035494506961408545,136.25,30.18995807036174,-0.006253435953820774,-0.034994060885928935,-0.017074264895800773,165.5,114.0,1.3086883463477315,0.36137020513211354,-0.6844036697247706,5.0678899082568805,-4.008790954242598,-0.004939900897547682,0.002956849504847521,-0.0009362803183374698,0.004795986273258541,-0.6844036697247706,5.143119266055046,20,2,1,1,0,1,196.0,33.855656488997525,1.5619085566291464
2024-08-08 07:00:00,atr_breakdown,0,2024-08-08 08:00:00,2024-08-08 12:00:00,stop,5,-0.6935151927756955,-0.9999999999999877,8,43.06506453248808,-0.9827689849809472,-0.2486568924022179,0.016747930144923595,126.60714285714286,39.70348820998509,-0.007079185551341238,-0.003805415504664067,-0.022023817551620417,168.5,129.5,1.3055690072639226,0.5531456761061825,-0.04739069111424542,1.3427362482369534,-3.2614069540341357,0.001221947992265641,0.0034549679127557032,-0.0006474570879447435,0.004181336027674756,1.303244005641749,5.1221438645980255,7,3,0,1,0,0,137.75,45.79433054892215,1.116967362659639
2024-08-09 04:00:00,atr_breakdown,0,2024-08-09 05:00:00,2024-08-09 08:00:00,stop,4,-0.5659430101474183,-0.999999999999995,9,43.08973489945758,-0.958994804907216,-0.2609267316165293,0.018300600551858448,106.28571428571429,56.12069365476469,-0.005749880210828895,-0.005630765544507033,0.02383465138909835,157.5,107.75,1.3843111404087014,0.3601933390717076,-0.3057795698924731,1.5124327956989247,1.0395597291198129,6.47652022525147e-05,0.0025148982562646807,0.0012098106725901882,0.00406870662934788,5.46875,1.5124327956989247,4,4,0,1,0,1,53.75,64.82903819873977,0.4701508856330636
2024-08-09 12:00:00,atr_breakdown,0,2024-08-09 13:00:00,2024-08-09 13:00:00,stop,1,-0.46898671601562913,-1.000000000000006,9,43.08973489945758,-0.958994804907216,-0.2609267316165293,0.018300600551858448,87.83928571428571,48.49687882646509,-0.005468270692736588,-0.0061177975928665695,0.023414125332821056,144.75,101.75,1.5514469453376207,1.5460577305596477,-0.734295588534255,2.6070339499898356,0.5449530926138547,8.974251910084015e-05,0.0026958245738739374,0.001259881448262663,0.003764269821802724,5.552754624923765,2.6070339499898356,12,4,0,1,0,1,110.25,55.98246649123749,1.2127045235803657
2024-08-12 13:00:00,atr_breakdown,0,2024-08-12 14:00:00,2024-08-12 14:00:00,stop,1,-0.28874300922989704,-0.9999999999999809,12,45.04644633958618,-0.8023045458556587,-0.30032337871881404,0.04482796800177158,54.32142857142857,45.63740726280654,-0.006356353042441865,-0.007368504603661785,0.0007068363073803319,149.25,120.5,2.800844475721323,6.804152510117641,-1.5877712031558187,2.8395792241946087,1.3892625628818425,0.0002861662374326797,0.001676134546343858,0.0005157706601136106,0.0038576811784389042,2.871794871794872,2.8395792241946087,13,0,1,1,0,1,43.5,57.524246506773316,0.8859470468431772
2024-09-06 07:00:00,atr_breakdown,0,2024-09-06 08:00:00,2024-09-06 12:00:00,stop,5,-0.38428261626796134,-0.9999999999999928,1,34.435111819415056,-2.310656675504193,-0.01094984164026084,-0.06102148501603166,73.28571428571429,37.22268680094269,-0.0035144775493075597,-0.005119208159310773,-0.006368094148414549,138.25,66.5,1.5316438166458939,0.7177812559820735,-0.6754385964912281,1.7499999999999998,-4.500310888944218,6.865775868532727e-05,0.001459596042419449,-0.0001969318508804422,0.0031438365368648704,-0.16374269005847952,5.07261208576998,7,4,0,1,0,1,58.25,42.236160544619196,0.685394911016326
2024-09-06 14:00:00,atr_breakdown,0,2024-09-06 15:00:00,2024-09-06 15:00:00,stop,1,-0.5495780380925908,-1.0,1,34.435111819415056,-2.310656675504193,-0.01094984164026084,-0.06102148501603166,103.625,32.493428361310265,-0.0111661876763256,-0.010187518969635434,-0.026868886063468156,284.0,212.0,3.016062657639719,5.00182195669675,-1.6453558504221955,4.238841978287093,-5.0919049158207885,-0.00027954081929200864,0.005911152941108888,-0.0003100706129813974,0.004036326520346167,-1.6453558504221955,5.95416164053076,14,4,1,1,0,1,231.0,41.76972722723392,2.674772036474164
2024-09-06 15:00:00,atr_breakdown,1,2024-09-06 16:00:00,2024-09-07 00:00:00,target,6,0.9012415401599139,1.4999999999999953,1,34.435111819415056,-2.310656675504193,-0.01094984164026084,-0.06102148501603166,111.23214285714286,30.089016845905817,-0.0037729811884223974,-0.01572749545562313,-0.02713259035517135,197.0,70.75,1.9485657764589517,3.1976298424925895,-0.38208380157328625,4.585005618879435,-5.273198498915609,-0.0016821663854968232,0.007420488661700478,-0.0011258441215398346,0.004172982201517591,-0.38208380157328625,6.183014930165355,15,4,1,1,0,1,284.0,32.493428361310265,3.016062657639719
