atr_col,rsi_min,atr_max,score_avg_final_move,count,avg_favorable,median_favorable,p60_favorable,p70_favorable,p80_favorable,p90_favorable,avg_adverse,median_adverse,p60_adverse,p70_adverse,p80_adverse,p90_adverse,avg_final_move,median_final_move,hit_100,hit_150,hit_200,hit_250,hit_300
d_atr7,52,625,185.11190476190475,105,482.4714285714286,496.25,591.05,660.9,743.4,864.35,321.2857142857143,269.0,348.85,464.7999999999999,569.45,654.1500000000004,185.11190476190475,263.0,0.9142857142857143,0.8476190476190476,0.8095238095238095,0.7333333333333333,0.638095238095238
d_atr7,52,650,185.11190476190475,105,482.4714285714286,496.25,591.05,660.9,743.4,864.35,321.2857142857143,269.0,348.85,464.7999999999999,569.45,654.1500000000004,185.11190476190475,263.0,0.9142857142857143,0.8476190476190476,0.8095238095238095,0.7333333333333333,0.638095238095238
d_atr7,52,675,185.11190476190475,105,482.4714285714286,496.25,591.05,660.9,743.4,864.35,321.2857142857143,269.0,348.85,464.7999999999999,569.45,654.1500000000004,185.11190476190475,263.0,0.9142857142857143,0.8476190476190476,0.8095238095238095,0.7333333333333333,0.638095238095238
d_atr7,52,700,185.11190476190475,105,482.4714285714286,496.25,591.05,660.9,743.4,864.35,321.2857142857143,269.0,348.85,464.7999999999999,569.45,654.1500000000004,185.11190476190475,263.0,0.9142857142857143,0.8476190476190476,0.8095238095238095,0.7333333333333333,0.638095238095238
d_atr7,54,150,,0,,,,,,,,,,,,,,,,,,,
d_atr7,54,175,,0,,,,,,,,,,,,,,,,,,,
d_atr7,54,200,,0,,,,,,,,,,,,,,,,,,,
d_atr7,54,225,,0,,,,,,,,,,,,,,,,,,,
d_atr7,54,250,,0,,,,,,,,,,,,,,,,,,,
d_atr7,54,275,,0,,,,,,,,,,,,,,,,,,,
d_atr7,54,300,,2,175.625,175.625,183.1,190.575,198.05,205.525,245.625,245.625,253.1,260.575,268.05,275.525,61.75,61.75,1.0,0.5,0.5,0.0,0.0
d_atr7,54,325,,9,128.94444444444446,138.25,146.45,150.75,176.55,232.3,398.94444444444446,352.75,473.95,546.85,588.85,609.65,-85.44444444444444,-41.0,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111
d_atr7,54,350,,10,148.95,143.375,150.0,170.475,232.3,311.45,366.925,336.25,413.3499999999999,525.55,582.05,609.45,-50.6,-24.625,0.7,0.4,0.3,0.2,0.2
d_atr7,54,375,80.76041666666667,24,333.3333333333333,259.0,303.7,379.5499999999996,626.9500000000004,771.725,303.7291666666667,255.5,312.4,371.775,532.6500000000002,610.65,80.76041666666667,-24.625,0.8333333333333334,0.625,0.5833333333333334,0.5416666666666666,0.4166666666666667
d_atr7,54,400,67.13541666666667,48,412.6197916666667,392.75,510.34999999999997,634.225,693.75,758.1750000000002,340.734375,295.5,372.05,468.275,581.25,709.7000000000005,67.13541666666667,23.125,0.8333333333333334,0.7083333333333334,0.6875,0.6458333333333334,0.5833333333333334
d_atr7,54,425,192.22265625,64,491.7421875,548.0,635.55,683.7499999999999,748.6,852.3500000000001,311.9921875,278.0,330.15,386.37499999999994,499.75000000000006,619.6500000000001,192.22265625,289.375,0.875,0.78125,0.765625,0.734375,0.6875
d_atr7,54,450,144.35795454545453,88,476.30965909090907,469.875,595.05,662.575,749.4000000000001,894.65,349.65909090909093,314.375,397.75,509.2,581.25,694.7749999999999,144.35795454545453,27.125,0.9090909090909091,0.8295454545454546,0.7840909090909091,0.6931818181818182,0.6022727272727273
d_atr7,54,475,150.98055555555555,90,479.3861111111111,473.0,599.8499999999999,668.375,747.8,894.55,343.90555555555557,304.875,389.75,505.9,579.75,681.4250000000005,150.98055555555555,29.625,0.9111111111111111,0.8333333333333334,0.7888888888888889,0.7,0.6111111111111112
d_atr7,54,500,179.63131313131314,99,482.42424242424244,496.25,589.1,660.8,736.8000000000001,870.7,323.31060606060606,273.0,352.15,476.84999999999997,570.9000000000001,633.5500000000002,179.63131313131314,263.0,0.9191919191919192,0.8484848484848485,0.8080808080808081,0.7272727272727273,0.6363636363636364
d_atr7,54,525,176.259900990099,101,479.01732673267327,474.5,584.5,660.5,733.0,864.75,321.9059405940594,269.0,349.75,471.75,568.0,623.25,176.259900990099,119.5,0.9207920792079208,0.8514851485148515,0.8118811881188119,0.7326732673267327,0.6336633663366337
d_atr7,54,550,179.75,102,480.296568627451,485.375,587.9499999999999,656.2999999999998,732.9,864.65,322.16421568627453,271.0,349.15,461.3249999999996,566.8000000000001,622.725,179.75,191.25,0.9215686274509803,0.8529411764705882,0.8137254901960784,0.7352941176470589,0.6372549019607843
d_atr7,54,575,179.75,102,480.296568627451,485.375,587.9499999999999,656.2999999999998,732.9,864.65,322.16421568627453,271.0,349.15,461.3249999999996,566.8000000000001,622.725,179.75,191.25,0.9215686274509803,0.8529411764705882,0.8137254901960784,0.7352941176470589,0.6372549019607843
d_atr7,54,600,179.75,102,480.296568627451,485.375,587.9499999999999,656.2999999999998,732.9,864.65,322.16421568627453,271.0,349.15,461.3249999999996,566.8000000000001,622.725,179.75,191.25,0.9215686274509803,0.8529411764705882,0.8137254901960784,0.7352941176470589,0.6372549019607843
d_atr7,54,625,179.75,102,480.296568627451,485.375,587.9499999999999,656.2999999999998,732.9,864.65,322.16421568627453,271.0,349.15,461.3249999999996,566.8000000000001,622.725,179.75,191.25,0.9215686274509803,0.8529411764705882,0.8137254901960784,0.7352941176470589,0.6372549019607843
d_atr7,54,650,179.75,102,480.296568627451,485.375,587.9499999999999,656.2999999999998,732.9,864.65,322.16421568627453,271.0,349.15,461.3249999999996,566.8000000000001,622.725,179.75,191.25,0.9215686274509803,0.8529411764705882,0.8137254901960784,0.7352941176470589,0.6372549019607843
d_atr7,54,675,179.75,102,480.296568627451,485.375,587.9499999999999,656.2999999999998,732.9,864.65,322.16421568627453,271.0,349.15,461.3249999999996,566.8000000000001,622.725,179.75,191.25,0.9215686274509803,0.8529411764705882,0.8137254901960784,0.7352941176470589,0.6372549019607843
d_atr7,54,700,179.75,102,480.296568627451,485.375,587.9499999999999,656.2999999999998,732.9,864.65,322.16421568627453,271.0,349.15,461.3249999999996,566.8000000000001,622.725,179.75,191.25,0.9215686274509803,0.8529411764705882,0.8137254901960784,0.7352941176470589,0.6372549019607843
d_atr7,56,150,,0,,,,,,,,,,,,,,,,,,,
d_atr7,56,175,,0,,,,,,,,,,,,,,,,,,,
d_atr7,56,200,,0,,,,,,,,,,,,,,,,,,,
d_atr7,56,225,,0,,,,,,,,,,,,,,,,,,,
d_atr7,56,250,,0,,,,,,,,,,,,,,,,,,,
d_atr7,56,275,,0,,,,,,,,,,,,,,,,,,,
d_atr7,56,300,,2,175.625,175.625,183.1,190.575,198.05,205.525,245.625,245.625,253.1,260.575,268.05,275.525,61.75,61.75,1.0,0.5,0.5,0.0,0.0
d_atr7,56,325,,9,128.94444444444446,138.25,146.45,150.75,176.55,232.3,398.94444444444446,352.75,473.95,546.85,588.85,609.65,-85.44444444444444,-41.0,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111
d_atr7,56,350,,10,148.95,143.375,150.0,170.475,232.3,311.45,366.925,336.25,413.3499999999999,525.55,582.05,609.45,-50.6,-24.625,0.7,0.4,0.3,0.2,0.2
d_atr7,56,375,80.76041666666667,24,333.3333333333333,259.0,303.7,379.5499999999996,626.9500000000004,771.725,303.7291666666667,255.5,312.4,371.775,532.6500000000002,610.65,80.76041666666667,-24.625,0.8333333333333334,0.625,0.5833333333333334,0.5416666666666666,0.4166666666666667
d_atr7,56,400,55.63586956521739,46,413.48369565217394,412.625,539.75,638.25,701.75,765.625,342.70108695652175,301.375,374.25,484.2499999999999,582.75,733.0,55.63586956521739,18.375,0.8260869565217391,0.6956521739130435,0.6739130434782609,0.6304347826086957,0.5652173913043478
d_atr7,56,425,187.7258064516129,62,494.93548387096774,557.125,638.75,695.7499999999999,750.2,859.9499999999999,312.5241935483871,268.375,338.3,393.12499999999994,502.75000000000006,622.05,187.7258064516129,182.5,0.8709677419354839,0.7741935483870968,0.7580645161290323,0.7258064516129032,0.6774193548387096
d_atr7,56,450,140.00290697674419,86,478.2529069767442,473.0,614.25,672.2499999999999,751.0,894.75,350.9186046511628,326.25,402.75,514.8749999999999,582.75,708.125,140.00290697674419,23.125,0.9069767441860465,0.8255813953488372,0.7790697674418605,0.686046511627907,0.5930232558139535
d_atr7,56,475,144.00862068965517,87,480.5890804597701,474.5,618.0,681.55,750.2,894.7,346.9511494252874,319.75,400.25,511.79999999999995,582.0,701.4500000000004,144.00862068965517,24.75,0.9080459770114943,0.8275862068965517,0.7816091954022989,0.6896551724137931,0.5977011494252874
d_atr7,56,500,174.20833333333334,96,483.609375,499.625,592.25,661.25,742.5,879.625,325.4270833333333,268.375,371.5,488.5,575.25,649.0,174.20833333333334,96.375,0.9166666666666666,0.84375,0.8020833333333334,0.71875,0.625
d_atr7,56,525,170.84438775510205,98,480.07397959183675,485.375,590.65,660.95,738.7,873.675,323.9362244897959,266.375,356.49999999999994,479.3999999999999,572.35,638.6999999999998,170.84438775510205,96.375,0.9183673469387755,0.8469387755102041,0.8061224489795918,0.7244897959183674,0.6224489795918368
d_atr7,56,550,170.84438775510205,98,480.07397959183675,485.375,590.65,660.95,738.7,873.675,323.9362244897959,266.375,356.49999999999994,479.3999999999999,572.35,638.6999999999998,170.84438775510205,96.375,0.9183673469387755,0.8469387755102041,0.8061224489795918,0.7244897959183674,0.6224489795918368
d_atr7,56,575,170.84438775510205,98,480.07397959183675,485.375,590.65,660.95,738.7,873.675,323.9362244897959,266.375,356.49999999999994,479.3999999999999,572.35,638.6999999999998,170.84438775510205,96.375,0.9183673469387755,0.8469387755102041,0.8061224489795918,0.7244897959183674,0.6224489795918368
d_atr7,56,600,170.84438775510205,98,480.07397959183675,485.375,590.65,660.95,738.7,873.675,323.9362244897959,266.375,356.49999999999994,479.3999999999999,572.35,638.6999999999998,170.84438775510205,96.375,0.9183673469387755,0.8469387755102041,0.8061224489795918,0.7244897959183674,0.6224489795918368
d_atr7,56,625,170.84438775510205,98,480.07397959183675,485.375,590.65,660.95,738.7,873.675,323.9362244897959,266.375,356.49999999999994,479.3999999999999,572.35,638.6999999999998,170.84438775510205,96.375,0.9183673469387755,0.8469387755102041,0.8061224489795918,0.7244897959183674,0.6224489795918368
