rsi_lo,rsi_hi,st_period,st_mult,direction,stop_mult,tp_mode,tp_param,n_trades,win_rate,expectancy,profit_factor,median_rr,total_usd
55,65,14,3.0,1,2.0,fixed_rr,2.5,30,0.5666666666666667,65.07953225765344,1.238448017581278,0.49920237473726414,1952.3859677296032
55,65,14,3.0,1,1.0,fixed_rr,2.0,30,0.5666666666666667,52.675314517382894,1.1929996096531814,0.49920237473726414,1580.259435521487
55,65,14,3.0,1,1.5,fixed_rr,2.0,30,0.5666666666666667,52.675314517382894,1.1929996096531814,0.49920237473726414,1580.259435521487
55,65,14,3.0,1,2.0,fixed_rr,2.0,30,0.5666666666666667,52.675314517382894,1.1929996096531814,0.49920237473726414,1580.259435521487
55,65,14,3.0,1,1.0,fixed_rr,1.5,30,0.5666666666666667,44.90828372925647,1.1645416132651596,0.5074693560364275,1347.248511877694
55,65,14,3.0,1,1.5,fixed_rr,1.5,30,0.5666666666666667,44.90828372925647,1.1645416132651596,0.5074693560364275,1347.248511877694
55,65,14,3.0,1,2.0,fixed_rr,1.5,30,0.5666666666666667,44.90828372925647,1.1645416132651596,0.5074693560364275,1347.248511877694
55,65,14,3.0,1,1.0,atr_multiple,3.0,30,0.6333333333333333,37.84052270610594,1.152336374498737,0.612528106347001,1135.2156811831783
55,65,14,3.0,1,1.5,atr_multiple,3.0,30,0.6333333333333333,37.84052270610594,1.152336374498737,0.612528106347001,1135.2156811831783
55,65,14,3.0,1,2.0,atr_multiple,3.0,30,0.6333333333333333,37.84052270610594,1.152336374498737,0.612528106347001,1135.2156811831783
55,65,14,3.0,1,1.0,atr_multiple,2.0,30,0.7,18.677195166756334,1.0937671604644494,0.4764696051746663,560.31585500269
55,65,14,3.0,1,1.5,atr_multiple,2.0,30,0.7,18.677195166756334,1.0937671604644494,0.4764696051746663,560.31585500269
55,65,14,3.0,1,2.0,atr_multiple,2.0,30,0.7,18.677195166756334,1.0937671604644494,0.4764696051746663,560.31585500269
50,60,10,3.0,1,1.0,atr_multiple,2.0,31,0.6451612903225806,-13.004852585429864,0.9453823781340946,0.4622154781937579,-403.15043014832577
50,60,10,3.0,1,1.5,atr_multiple,2.0,31,0.6451612903225806,-13.004852585429864,0.9453823781340946,0.4622154781937579,-403.15043014832577
50,60,10,3.0,1,2.0,atr_multiple,2.0,31,0.6451612903225806,-13.004852585429864,0.9453823781340946,0.4622154781937579,-403.15043014832577
55,65,10,2.5,1,1.0,atr_multiple,3.0,38,0.5263157894736842,-14.258434267419739,0.9424948921850304,0.5590401680404311,-541.8205021619501
55,65,10,2.5,1,1.5,atr_multiple,3.0,38,0.5263157894736842,-14.258434267419739,0.9424948921850304,0.5590401680404311,-541.8205021619501
55,65,10,2.5,1,2.0,atr_multiple,3.0,38,0.5263157894736842,-14.258434267419739,0.9424948921850304,0.5590401680404311,-541.8205021619501
55,65,14,2.5,1,1.0,fixed_rr,2.0,38,0.4473684210526316,-15.493079056484458,0.9434698673063996,-1.0009555086402377,-588.7370041464094
55,65,14,2.5,1,1.5,fixed_rr,2.0,38,0.4473684210526316,-15.493079056484458,0.9434698673063996,-1.0009555086402377,-588.7370041464094
55,65,14,2.5,1,2.0,fixed_rr,2.0,38,0.4473684210526316,-15.493079056484458,0.9434698673063996,-1.0009555086402377,-588.7370041464094
55,65,14,2.5,1,1.0,fixed_rr,2.5,38,0.4473684210526316,-17.54259632306256,0.9359917228642981,-1.0009555086402377,-666.6186602763773
55,65,14,2.5,1,1.5,fixed_rr,2.5,38,0.4473684210526316,-17.54259632306256,0.9359917228642981,-1.0009555086402377,-666.6186602763773
55,65,14,2.5,1,2.0,fixed_rr,2.5,38,0.4473684210526316,-17.54259632306256,0.9359917228642981,-1.0009555086402377,-666.6186602763773
55,65,14,2.5,1,1.0,atr_multiple,3.0,38,0.5263157894736842,-18.431921708794885,0.9266673794386135,0.5590401680404311,-700.4130249342056
55,65,14,2.5,1,1.5,atr_multiple,3.0,38,0.5263157894736842,-18.431921708794885,0.9266673794386135,0.5590401680404311,-700.4130249342056
55,65,14,2.5,1,2.0,atr_multiple,3.0,38,0.5263157894736842,-18.431921708794885,0.9266673794386135,0.5590401680404311,-700.4130249342056
55,65,14,2.5,1,1.0,fixed_rr,1.5,38,0.4473684210526316,-20.50516914965939,0.9251820810628775,-1.0009555086402377,-779.1964276870568
55,65,14,2.5,1,1.5,fixed_rr,1.5,38,0.4473684210526316,-20.50516914965939,0.9251820810628775,-1.0009555086402377,-779.1964276870568
55,65,14,2.5,1,2.0,fixed_rr,1.5,38,0.4473684210526316,-20.50516914965939,0.9251820810628775,-1.0009555086402377,-779.1964276870568
55,65,10,2.5,1,1.0,fixed_rr,2.5,38,0.4473684210526316,-21.576428839206187,0.9209842671805324,-1.0009555086402377,-819.9042958898351
55,65,10,2.5,1,1.5,fixed_rr,2.5,38,0.4473684210526316,-21.576428839206187,0.9209842671805324,-1.0009555086402377,-819.9042958898351
