model,fold,feature,importance_mean,importance_std
combined,1,close_above_d_200,0.0,0.0
combined,1,dist_prev_day_high,-0.013671875,0.015502449088269086
combined,1,dist_prev_day_low,-0.00390625,0.0067658234670659265
combined,1,dist_prev_day_close,-0.0126953125,0.008679877360659755
combined,1,bars_since_20bar_high,0.0,0.0067658234670659265
combined,2,setup_type_code,0.0,0.0
combined,2,d1_rsi_14,0.0,0.0
combined,2,d1_atr_ratio,0.0034722222222222376,0.006014065304058629
combined,2,d1_trigger_bar_size,0.0,0.0
combined,2,d1_trigger_close_pos,0.04861111111111116,0.025278159337779577
combined,2,d1_consec_red,0.0017361111111111188,0.004593318248376045
combined,2,d1_consec_green,0.009548611111111147,0.006889977372564057
combined,2,d1_price_vs_slow_ma,0.0,0.0
combined,2,d1_ma_band_width,0.011284722222222265,0.004833128787178866
combined,2,d1_day_of_week,0.0026041666666666713,0.004833128787178854
combined,2,h1_body_ratio,0.011284722222222265,0.004833128787178866
combined,2,h1_atr_vs_d1,0.040798611111111216,0.007314366122548926
combined,2,h1_hour_gmt,0.001736111111111105,0.0030070326520292906
combined,2,h1_above_trigger,0.0,0.0
combined,2,h1_rsi_7,0.012152777777777846,0.009021097956087935
combined,2,h1_rsi_14,0.007812500000000056,0.0402594396711987
combined,2,h1_atr_14,0.07118055555555561,0.02133369049903561
combined,2,h1_atr_pct_60,0.006076388888888909,0.006437672297826124
combined,2,h1_close_location,0.011284722222222265,0.004833128787178866
combined,2,h1_upper_wick_ratio,0.03819444444444449,0.01665219278928029
combined,2,h1_lower_wick_ratio,0.004340277777777776,0.004833128787178849
combined,2,h1_down_bars_last_3,0.00694444444444442,0.0
combined,2,h1_down_bars_last_5,0.00868055555555558,0.005758029149922598
combined,2,h1_pullback_depth_atr,0.02951388888888895,0.0182910655431471
combined,2,h1_fast_minus_slow_atr,0.0,0.0
combined,2,d1_ema50_slope_5,0.0,0.0
combined,2,d1_ema100_slope_5,0.0,0.0
combined,2,close_above_d_50,0.0,0.0
combined,2,close_above_d_100,0.0,0.0
combined,2,close_above_d_200,0.0,0.0
combined,2,dist_prev_day_high,0.011284722222222265,0.006889977372564059
combined,2,dist_prev_day_low,0.015625000000000028,0.007567532888091452
combined,2,dist_prev_day_close,0.01736111111111116,0.006944444444444489
combined,2,bars_since_20bar_high,0.026041666666666755,0.012398313243998
combined,3,setup_type_code,0.0,0.0
combined,3,d1_rsi_14,0.004370629370629389,0.006938159032512034
combined,3,d1_atr_ratio,0.0026223776223776446,0.004866926890585738
combined,3,d1_trigger_bar_size,-0.004370629370629431,0.0033854749529785575
