time,setup_type,d1_rsi_14,d1_atr_ratio,d1_trigger_bar_size,d1_trigger_close_pos,d1_consec_red,d1_consec_green,d1_price_vs_slow_ma,d1_ma_band_width,d1_day_of_week,h1_body_ratio,h1_atr_vs_d1,h1_hour_gmt,h1_above_trigger,h1_rsi_7,h1_rsi_14,h1_atr_14,h1_atr_pct_60,h1_close_location,h1_upper_wick_ratio,h1_lower_wick_ratio,h1_down_bars_last_3,h1_down_bars_last_5,h1_pullback_depth_atr,h1_fast_minus_slow_atr,d1_ema50_slope_5,d1_ema100_slope_5,close_above_d_50,close_above_d_100,close_above_d_200,dist_prev_day_high,dist_prev_day_low,dist_prev_day_close,bars_since_20bar_high,label,entry,stop,target,mae_r,mfe_r,exit_r,bars_held,setup_type_code
2024-10-14 01:00:00+00:00,daily_dip,60.642137593315304,1.1129151258313594,0.8641159737745936,0.8411764705882353,0,1,7.378752693827448,1.0303885707103557,0,0.6039603960396039,0.29698011014426706,1,0.0,54.91822177585789,52.01286139270022,102.24505211029249,0.95,0.2376237623762376,0.15841584158415842,0.2376237623762376,3.0,3.0,0.9242501035459608,2.411603597787155,29.43969568830871,21.409095672534022,1,1,1,-0.14668187117854445,-0.01815369692803768,-0.07842397072912277,7.0,0,20987.25,20833.88242183456,21293.985156330877,-1.266564956711135,1.8289393583396312,-1.0,58,1
2024-12-29 23:00:00+00:00,daily_dip,53.20405448603778,1.2033815871787736,0.19613189417757615,0.45017182130584193,1,0,6.796114081256326,1.3852834899489093,6,0.1134020618556701,0.39304568562390557,23,0.0,51.813950867443964,47.90394643040887,145.79002435600964,1.0,0.45017182130584193,0.436426116838488,0.45017182130584193,1.0,2.0,1.6376291934555702,1.132360812453359,21.235241979798595,21.02610468983403,1,1,1,1.554227312623679,1.554227312623679,1.554227312623679,43.0,0,22297.25,22097.25,22697.25,-3.59875,0.09375,-1.0,13,1
2025-01-19 23:00:00+00:00,daily_dip,53.0407220742718,1.2790309817802776,0.21765523696378858,0.19672131147540983,1,0,4.9997461631786715,0.83867580004528,6,0.6092896174863388,0.3406344789722094,23,0.0,53.90500943280859,54.19695156906372,143.19919548337174,1.0,0.19672131147540983,0.19398907103825136,0.19672131147540983,2.0,4.0,0.9409969067573927,0.31654020450313597,4.621158735788049,9.608091538419831,1,1,1,1.3065261082225232,1.3065261082225232,1.3065261082225232,9.0,1,22140.25,21940.25,22540.25,-0.87875,2.74,2.0,57,1
2025-01-20 02:00:00+00:00,daily_dip,55.274531129060215,1.2439925378673524,0.5995202871797483,0.803680981595092,0,1,5.574273572366853,0.8702349983035507,0,0.13414634146341464,0.2944726347262376,2,0.0,54.539706806799316,54.671970620013255,120.09361606303487,0.95,0.5121951219512195,0.35365853658536583,0.5121951219512195,1.0,2.0,0.9305240666693269,0.5161428090822356,6.922289765757159,10.671297646569291,1,1,1,-0.14221749143732268,0.08214286143362604,0.038006398573767274,12.0,0,22155.0,21974.859575905448,22515.280848189104,-1.057508335275209,2.9601906550420223,-1.0,18,1
2025-05-12 14:00:00+00:00,daily_dip,66.51807058714729,1.0296284709283576,1.1752395985935022,0.842200180342651,0,4,1.2737785826134937,0.9232730574095394,0,0.10658307210031348,0.21807761967241404,14,0.0,55.51934640700772,64.910710278209,102.8930953765279,0.9833333333333333,0.5109717868338558,0.3824451410658307,0.5109717868338558,2.0,3.0,2.138141526357333,5.536445334970782,26.200406678108994,3.0922553096796035,1,1,1,0.5696044041875631,0.8430145181975934,0.6750474520325166,3.0,1,20564.75,20410.41035693521,20873.429286129583,-0.11662590143767279,4.909626489688697,2.0,22,1
2025-05-23 18:00:00+00:00,daily_dip,56.06032057403352,0.9080167709475307,1.2436045365306454,0.4479166666666667,1,0,1.41312573002969,0.2479870127795114,4,0.1762820512820513,0.2468376131455663,18,0.0,52.355517500345165,46.414495939213396,100.0367507281924,0.9333333333333333,0.4198717948717949,0.40384615384615385,0.4198717948717949,1.0,1.0,1.9292909715190165,2.1347417856107826,41.181648830344784,17.56524719047011,1,1,1,-0.7383901935650706,-0.0018506019888848888,-0.34853004123998743,22.0,1,20830.25,20680.194873907712,21130.360252184575,-0.711405220067898,5.303051090108008,2.0,31,1
2025-05-23 19:00:00+00:00,daily_dip,56.06032057403352,0.9080167709475307,1.2436045365306454,0.4479166666666667,1,0,1.41312573002969,0.2479870127795114,4,0.531390134529148,0.248857985707613,19,0.0,43.76394493422149,42.451514397036945,100.85555424760723,0.9333333333333333,0.17713004484304934,0.2914798206278027,0.17713004484304934,2.0,2.0,2.1243252451322783,2.0482343725924723,41.181648830344784,17.56524719047011,1,1,1,-0.8870552200054901,-0.1505156284293043,-0.49719506768040683,23.0,1,20771.25,20619.96666862859,21073.81666274282,-0.3156329224583936,5.649994564844229,2.0,12,1
2025-05-29 17:00:00+00:00,daily_dip,57.67803046027712,0.8910150745942095,1.4164424704392864,0.027790228597041687,1,0,2.29204470872651,0.008769917113827977,3,0.7010752688172043,0.2568286968295787,17,0.0,28.071169398311326,36.07039742619842,101.13097329838753,1.0,0.04086021505376344,0.25806451612903225,0.04086021505376344,2.0,3.0,4.808121430467366,3.6658196677863386,39.61675774531104,18.825580457598697,1,1,1,-1.0247145438319176,0.1333271711305469,-1.0005886747701995,9.0,0,21165.0,21013.30354005242,21468.39291989516,-1.9825775769845095,2.5544432621163673,-1.0,22,1
2025-05-29 18:00:00+00:00,daily_dip,57.67803046027712,0.8910150745942095,1.4164424704392864,0.027790228597041687,1,0,2.29204470872651,0.008769917113827977,3,0.11363636363636363,0.2544467709464974,18,0.0,27.419750181645114,35.585911365800285,100.193046634217,0.9833333333333333,0.5142045454545454,0.3721590909090909,0.5142045454545454,2.0,3.0,4.955433702027381,3.6223752999467336,39.61675774531104,18.825580457598697,1,1,1,-1.050745086766929,0.10729662819553536,-1.0266192177052111,10.0,0,21154.5,21004.210430048675,21455.07913990265,-1.9312717448988994,2.648221031764899,-1.0,21,1
2025-06-16 01:00:00+00:00,daily_dip,57.91786303208644,0.7667890429486104,1.0484585565704294,0.3979213066072754,0,2,3.8895969569962596,0.7646577140100038,0,0.17518248175182483,0.3283323971204888,1,0.0,47.47008682583748,47.865421537334555,105.45570355397965,0.95,0.6423357664233577,0.18248175182481752,0.6423357664233577,1.0,1.0,1.6476112163156973,1.0488800194575043,30.03766321970543,19.428553881833068,1,1,1,-0.045923574489721855,0.5682069386016433,-0.0015567313386346392,4.0,0,21479.75,21321.56644466903,21796.117110661937,-0.801284303762172,1.9565877082003331,-0.05215459965315912,72,1
