signal_time,trigger,label,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,bars_held,return_pct,r_multiple,pnl_usd,rf_prob,capital_before,capital_after
2022-06-10 14:00:00,atr_breakdown,0,2022-06-10 15:00:00,12049.25,12121.357142857143,11941.089285714286,2022-06-10 17:00:00,12121.357142857143,stop,3,-0.5948768112952973,-1.0000000000000036,-144.21428571428623,0.5278845274274307,4730.07142857142,4585.857142857134
2022-06-13 19:00:00,atr_breakdown,0,2022-06-13 20:00:00,11490.5,11590.0,11341.25,2022-06-14 03:00:00,11590.0,stop,7,-0.8584987057808413,-1.0,-199.0,0.5844542679832212,4585.857142857134,4386.857142857134
2022-06-16 06:00:00,atr_breakdown,1,2022-06-16 07:00:00,11639.5,11740.714285714286,11487.67857142857,2022-06-16 07:00:00,11487.67857142857,target,1,1.321602337908634,1.5000000000000078,303.6428571428587,0.5410569870733107,4386.857142857134,4690.499999999993
2022-06-16 07:00:00,atr_breakdown,1,2022-06-16 08:00:00,11531.25,11639.089285714286,11369.49107142857,2022-06-16 14:00:00,11369.49107142857,target,7,1.4227455525949395,1.5000000000000073,323.5178571428587,0.5280748153878364,4690.499999999993,5014.017857142851
2022-06-16 17:00:00,atr_breakdown,0,2022-06-16 18:00:00,11275.0,11373.607142857143,11127.089285714286,2022-06-16 22:00:00,11373.607142857143,stop,4,-0.8669821422403357,-1.0000000000000027,-197.21428571428623,0.6113647030507559,5014.017857142851,4816.803571428565
2022-06-22 05:00:00,atr_breakdown,1,2022-06-22 06:00:00,11570.5,11615.642857142857,11502.785714285714,2022-06-22 07:00:00,11502.785714285714,target,2,0.5886772769329252,1.5000000000000113,135.42857142857247,0.5177401220758597,4816.803571428565,4952.232142857138
2022-06-28 18:00:00,atr_breakdown,1,2022-06-28 19:00:00,11858.25,11944.875,11728.3125,2022-06-29 13:00:00,11728.3125,target,18,1.1078959568991742,1.5,259.875,0.5803204330756238,4952.232142857138,5212.107142857138
2022-06-30 05:00:00,atr_breakdown,1,2022-06-30 06:00:00,11742.0,11792.642857142857,11666.035714285714,2022-06-30 06:00:00,11666.035714285714,target,1,0.6511576646492045,1.5000000000000102,151.92857142857247,0.519954127795971,5212.107142857138,5364.03571428571
2022-06-30 06:00:00,atr_breakdown,0,2022-06-30 07:00:00,11665.5,11718.517857142857,11585.973214285714,2022-06-30 12:00:00,11718.517857142857,stop,6,-0.45242801000248134,-0.999999999999995,-106.03571428571377,0.5005411848219569,5364.03571428571,5257.999999999996
2022-07-18 18:00:00,atr_breakdown,0,2022-07-18 19:00:00,12067.25,12129.892857142857,11973.285714285714,2022-07-19 09:00:00,12129.892857142857,stop,14,-0.5164337218854231,-0.9999999999999958,-125.28571428571377,0.5314682813767168,5257.999999999996,5132.714285714283
2022-07-18 19:00:00,atr_breakdown,0,2022-07-18 20:00:00,12048.75,12116.714285714286,11946.80357142857,2022-07-19 09:00:00,12116.714285714286,stop,13,-0.5609134961151674,-1.0000000000000078,-135.92857142857247,0.5129874272983037,5132.714285714283,4996.78571428571
2022-07-22 17:00:00,atr_breakdown,0,2022-07-22 18:00:00,12537.5,12595.357142857143,12450.714285714286,2022-07-24 22:00:00,12595.357142857143,stop,4,-0.45935293617263007,-1.0000000000000044,-115.71428571428623,0.5726777762170507,4996.78571428571,4881.071428571424
2022-07-25 14:00:00,atr_breakdown,0,2022-07-25 15:00:00,12496.5,12539.375,12432.1875,2022-07-25 16:00:00,12539.375,stop,2,-0.34192294273039936,-1.0,-85.75,0.5163455577614698,4881.071428571424,4795.321428571424
2022-07-26 14:00:00,atr_breakdown,1,2022-07-26 15:00:00,12338.0,12377.910714285714,12278.13392857143,2022-07-26 15:00:00,12278.13392857143,target,1,0.4875828181777786,1.4999999999999805,119.7321428571413,0.5013197645724381,4795.321428571424,4915.053571428565
2022-08-30 13:00:00,atr_breakdown,1,2022-08-30 14:00:00,12621.0,12670.035714285714,12547.44642857143,2022-08-30 14:00:00,12547.44642857143,target,1,0.5862035103898489,1.4999999999999842,147.1071428571413,0.5227113787491455,4915.053571428565,5062.1607142857065
2022-09-01 15:00:00,atr_breakdown,0,2022-09-01 16:00:00,12185.5,12242.75,12099.625,2022-09-01 17:00:00,12242.75,stop,2,-0.467623695656616,-1.0,-114.5,0.5294905701833016,5062.1607142857065,4947.6607142857065
2022-09-02 17:00:00,atr_breakdown,0,2022-09-02 18:00:00,12229.5,12321.07142857143,12092.142857142857,2022-09-05 15:00:00,12281.75,time,25,-0.4254279723980736,-0.5705928237129485,-104.5,0.6437259409826044,4947.6607142857065,4843.1607142857065
2022-09-06 13:00:00,atr_breakdown,0,2022-09-06 14:00:00,12188.0,12244.92857142857,12102.607142857143,2022-09-06 14:00:00,12244.92857142857,stop,1,-0.4649155043778941,-0.9999999999999862,-113.8571428571413,0.6543144938937951,4843.1607142857065,4729.303571428565
2022-09-13 13:00:00,atr_breakdown,1,2022-09-13 14:00:00,12448.0,12516.392857142857,12345.410714285714,2022-09-13 15:00:00,12345.410714285714,target,2,0.830991273506787,1.5000000000000078,205.17857142857247,0.5115588492744175,4729.303571428565,4934.482142857138
