time,open,high,low,close,tick_volume,spread,real_volume,body,body_abs,range,upper_wick,lower_wick,is_red,is_green,ret_1,ret_3,ret_5,ret_10,log_ret,rsi,atr,adx,ema_10,ema_20,ema_50,ema_100,ema_200,ema10_slope_5,ema20_slope_5,ema50_slope_5,dist_ema20_atr,dist_ema50_atr,dist_ema200_atr,rolling_red_ratio_5,rolling_red_ratio_10,rolling_green_ratio_5,rolling_vol_10,downside_vol_10,drawdown_pct,red_streak,green_streak,date,label,bear_window_id
2025-02-06 00:00:00+00:00,22367.0,22476.25,22300.25,22446.25,1133552,0,1247933,79.25,79.25,176.0,30.0,66.75,0,1,0.003498301144492233,0.01264323739059825,0.04056324969577574,0.023926009556718864,0.0034921963225702513,55.893644738798585,406.3085493828712,10.890157557994876,22178.727776008272,22134.42206217308,22021.8290063347,21700.281494559582,20970.41725494801,95.75697118669996,44.482946433705365,35.76281500722689,0.7674658539687313,1.0445780535751412,3.6322955726469064,0.4,0.4,0.6,0.012645522455550421,,-0.01060090140720904,0,2,2025-02-06 00:00:00+00:00,OUTSIDE,
2025-02-07 00:00:00+00:00,22446.25,22562.0,22147.25,22169.75,1422291,0,1560975,-276.5,276.5,414.75,115.75,22.5,1,0,-0.012318315977056349,0.0003609823231469633,0.021270960014741158,0.001355028850822615,-0.012394815309104246,50.926254689759425,406.91151014123756,10.477481281597935,22177.095453097674,22137.786627680405,22027.629829615697,21709.577900607906,20982.350914102757,162.3011582436593,84.2226658209729,52.46819481086641,0.07855116290148786,0.3492655450689367,2.9180769191933176,0.4,0.5,0.6,0.013125964932788703,,-0.022788632131089726,1,0,2025-02-07 00:00:00+00:00,PRE_BEAR,11.0
2025-02-08 00:00:00+00:00,21575.5,21575.5,21575.5,21575.5,10,100,10,0.0,0.0,0.0,0.0,0.0,0,0,-0.026804542225329575,-0.035430078683834076,-0.026639898944329166,-0.02517762139815427,-0.02717033539287783,42.23807676808047,420.2928308454349,10.6659392639631,22067.71446162537,22084.23552028227,22009.89924806214,21706.922892675077,20988.252895056958,25.428220381178107,19.963364314211503,27.25375579867614,-1.2104311159886512,-1.0335633067742978,1.3972332189482572,0.4,0.4,0.4,0.015719429190956032,,-0.048982335504203944,0,0,2025-02-08 00:00:00+00:00,PRE_BEAR,11.0
2025-02-09 00:00:00+00:00,22059.0,22250.75,22009.25,22239.0,40120,25,46926,180.0,180.0,241.5,11.75,49.75,0,1,0.030752473870825803,-0.009233168123851443,0.003485735557887004,-0.0024110977784257415,0.030289092670704676,52.07023178845947,438.50405721361807,10.427310623177153,22098.857286784394,22098.974994541102,22018.88359127539,21717.45907301814,21000.698139882265,34.850362130055146,25.41923437952937,29.21439282617939,0.3193243099018451,0.5019712020985487,2.823923381658689,0.2,0.4,0.6,0.01871983739531867,,-0.01973618962610335,0,1,2025-02-09 00:00:00+00:00,PRE_BEAR,11.0
2025-02-10 00:00:00+00:00,22238.5,22488.0,22236.25,22390.5,902365,0,987614,152.0,152.0,251.75,97.5,2.25,0,1,0.006812356670713671,0.009957261583914967,0.0010059012875536233,0.010150910198281071,0.006789257416574657,53.99580866639823,425.1644816983596,10.629384639237339,22151.883234641777,22126.739280775284,22033.456783774396,21730.78661612669,21014.527014112293,32.604841742773715,25.14121205767151,28.95108330358562,0.620373362730346,0.8397766784265728,3.236330985107818,0.2,0.3,0.6,0.018730834193610428,,-0.013058282918443576,0,2,2025-02-10 00:00:00+00:00,PRE_BEAR,11.0
2025-02-11 00:00:00+00:00,22390.0,22465.5,22263.75,22403.25,1018401,0,1124898,13.25,13.25,201.75,62.25,126.25,0,1,0.0005694379312655151,0.038365275428147605,-0.0019156874756361963,0.03856985571072613,0.00056927586300759,54.16270881119397,409.2063044341911,10.81702479700751,22197.586282888726,22153.07363498716,22047.958478528344,21744.102722738044,21028.345153275357,18.858506880453206,18.651572814080282,26.12947219364287,0.6113697719265588,0.8682454733020716,3.3599307533292326,0.2,0.3,0.6,0.015938723533440915,,-0.012496280868789067,0,3,2025-02-11 00:00:00+00:00,PRE_BEAR,11.0
2025-02-12 00:00:00+00:00,22403.5,22493.0,22104.25,22482.0,1284351,0,1421379,78.5,78.5,388.75,11.0,299.25,0,1,0.0035151149944763205,0.01092675030352086,0.014084507042253502,0.03565505804311764,0.0035089514173307634,55.242768090413435,407.74513983174893,10.60676642499258,22249.297867818048,22184.39995546457,22064.979714664485,21758.714550010558,21042.80938060595,72.20241472037378,46.61332778416545,37.349885048788565,0.7298677910869283,1.022747409098716,3.5296327995176426,0.0,0.2,0.8,0.015913816659747577,,-0.009025091738569913,0,4,2025-02-12 00:00:00+00:00,PRE_BEAR,11.0
2025-02-13 00:00:00+00:00,22481.75,22718.0,22347.0,22679.75,1311641,0,1448976,198.0,198.0,371.0,38.25,134.75,0,1,0.008795925629392354,0.012918425224983876,0.051180737410488675,0.023177388793647946,0.00875746683150247,57.92388002447514,405.12048698662403,10.854668439309265,22327.561891851128,22231.57615018223,22089.088353305095,21776.952875752922,21059.097346968083,259.8474302257564,147.34062989996164,79.18910524295643,1.1062729835051928,1.4579900688024385,4.000421368681428,0.0,0.2,1.0,0.014870765868337887,,-0.0003085501449083816,0,5,2025-02-13 00:00:00+00:00,PRE_BEAR,11.0
2025-02-14 00:00:00+00:00,22679.75,22818.25,22636.75,22797.25,1008462,0,1121149,117.5,117.5,181.5,21.0,43.0,0,1,0.005180833122058193,0.017586734067601695,0.025102297765187354,0.028675533294979072,0.005167458779741452,59.47718726695737,389.14759505900804,11.276969011434348,22412.959729696377,22285.449850164878,22116.859398273526,21797.156779203357,21076.39239824203,314.1024429119825,186.4748556237755,97.97580699813625,1.3151826102317707,1.748412711180456,4.42212061338071,0.0,0.1,1.0,0.014867906724877854,,0.0,0,6,2025-02-14 00:00:00+00:00,PRE_BEAR,11.0
2025-02-17 00:00:00+00:00,22851.75,22876.0,22786.25,22814.25,238125,0,269135,-37.5,37.5,89.75,24.25,28.0,1,0,0.000745703977453438,0.014778489458233235,0.018925437127353062,0.019950375536480713,0.0007454260783870126,59.70894066286017,367.7620525547932,11.78235289571948,22485.92159702431,22335.811769196793,22144.208049321624,21817.29723902111,21093.684513682412,334.0383623825328,209.07248842150875,110.75126554722738,1.3009450743478335,1.821944232755081,4.678474775646515,0.2,0.2,0.8,0.014701260479709264,,0.0,1,0,2025-02-17 00:00:00+00:00,ACTIVE_BEAR,11.0
2025-02-18 00:00:00+00:00,22814.5,22914.25,22697.25,22844.75,1019243,0,1141678,30.25,30.25,217.0,69.5,117.25,0,1,0.0013368837459044602,0.007275212469273207,0.019706962159508068,0.01775352230328009,0.0013359909124837088,60.14929084424704,356.9933345151651,11.992569098687001,22551.16312483807,22384.282076892337,22171.680282681562,21837.642838248416,21111.108050859704,353.57684194934336,231.20844190517892,123.72180415321782,1.2898501977159516,1.8853845499175448,4.85623058339385,0.2,0.2,0.8,0.014692351664992925,,0.0,0,1,2025-02-18 00:00:00+00:00,ACTIVE_BEAR,11.0
2025-02-19 00:00:00+00:00,22843.75,22894.0,22712.25,22811.75,1017869,0,1141237,-32.0,32.0,181.75,50.25,99.5,1,0,-0.0014445332078486528,0.0006360416278279324,0.014667289387065185,0.028958377969981575,-0.0014455775517898672,59.39294033505003,344.47595347836756,12.187769858585414,22598.54255668569,22424.993307664496,22196.781055909738,21856.93208897617,21128.029861298914,349.24468886764225,240.593352199925,131.80134124525284,1.1227393042393943,1.7852303996275345,4.887772634634193,0.4,0.2,0.6,0.013907312274295794,,-0.0014445332078486528,1,0,2025-02-19 00:00:00+00:00,ACTIVE_BEAR,11.0
2025-02-20 00:00:00+00:00,22812.0,22823.75,22545.0,22752.75,1179307,0,1323781,-59.25,59.25,278.75,11.75,207.75,1,0,-0.002586386401744689,-0.0026956836187909117,0.0032187303651936006,0.05456420476929846,-0.0025897368773843965,57.98896112849698,339.781242515627,11.855972219976698,22626.580273651925,22456.20823074407,22218.583759599554,21874.671057511292,21144.196230838228,299.0183818007972,224.63208056183794,129.49540629445983,0.8727432010679428,1.5720886663597344,4.734086429411395,0.6,0.3,0.4,0.009477684538765647,,-0.004027183488547692,2,0,2025-02-20 00:00:00+00:00,ACTIVE_BEAR,11.0
