regime_mode,daily_ma_len,daily_rsi_len,daily_rsi_bull_min,daily_rsi_bear_max,z_window,z_long_entry,z_short_entry,h1_rsi_len,h1_rsi_long_max,h1_rsi_short_min,atr_len,stop_atr_mult,tp_atr_mult,max_hold_bars,min_reentry_gap_bars,use_vwap_filter,vwap_buffer_atr,n_trades,win_rate,avg_win_points,avg_loss_points,profit_factor,expectancy_points,median_hold_hours,mean_hold_hours,pct_stop,pct_target,pct_reverse,total_points,max_drawdown_points,run_id
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.0,3.2,24,8,False,0.1,535,0.5794392523364486,161.6182135930567,-97.12778110396923,2.2925879768044664,52.79980460832617,12.0,15.377570093457944,0.37570093457943926,0.4747663551401869,0.0,28247.8954654545,-793.4269465049147,11
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.0,3.2,24,8,True,0.1,535,0.5794392523364486,161.6182135930567,-97.1227463445804,2.2927068225875127,52.80192203049903,12.0,15.34018691588785,0.37570093457943926,0.4747663551401869,0.0,28249.02828631698,-793.4269465049147,12
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.0,3.2,36,4,False,0.1,580,0.5551724137931034,176.7377780812343,-103.99959040818433,2.120967079408645,51.85805209801015,13.0,17.779310344827586,0.4189655172413793,0.506896551724138,0.0,30077.670216845887,-881.9012975456681,13
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.0,3.2,36,4,True,0.1,579,0.5544041450777202,176.841282609249,-103.99519962964759,2.115707812025983,51.70171021264223,13.0,17.751295336787564,0.41968911917098445,0.5060449050086355,0.0,29935.290213119853,-881.9012975456681,14
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.0,3.2,36,8,False,0.1,521,0.5623800383877159,175.52853526392727,-102.6784955739131,2.196853039122547,53.77958510840404,13.0,17.193857965451055,0.4126679462571977,0.5143953934740882,0.0,28019.163841478505,-878.3916868592241,15
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.0,3.2,36,8,True,0.1,521,0.5623800383877159,175.52853526392727,-102.67352706135837,2.1969593478490332,53.78175942867751,13.0,17.155470249520153,0.4126679462571977,0.5143953934740882,0.0,28020.29666234098,-878.3916868592241,16
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.2,2.8,24,4,False,0.1,599,0.6176961602671118,147.24901445184491,-108.93930573006124,2.183906471560517,49.30723595158363,13.0,15.297161936560935,0.337228714524207,0.5325542570951586,0.0,29535.034334998592,-833.3446411554032,17
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.2,2.8,24,4,True,0.1,599,0.6176961602671118,147.24901445184491,-108.93386423246855,2.1840155627223092,49.30931625700721,13.0,15.263772954924875,0.337228714524207,0.5325542570951586,0.0,29536.28043794732,-833.3446411554032,18
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.2,2.8,24,8,False,0.1,544,0.6158088235294118,145.24469192950042,-108.69948240322483,2.141762521288206,47.68158083475855,11.0,14.169117647058824,0.34375,0.5367647058823529,0.0,25938.77997410865,-833.3446411554032,19
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.2,2.8,24,8,True,0.1,544,0.6158088235294118,145.24469192950042,-108.69352018815917,2.1418800043612483,47.68387146517901,11.0,14.132352941176471,0.34375,0.5367647058823529,0.0,25940.02607705738,-833.3446411554032,20
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.2,2.8,36,4,False,0.1,585,0.6017094017094017,157.70748161311406,-114.97559077287924,2.0722082067920686,49.10037756877826,13.0,16.782905982905984,0.37094017094017095,0.5692307692307692,0.0,28723.720877735286,-682.5386886933884,21
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.2,2.8,36,4,True,0.1,585,0.6017094017094017,157.70748161311406,-114.97024269155422,2.0723045998912992,49.10250765928891,13.0,16.74871794871795,0.37094017094017095,0.5692307692307692,0.0,28724.966980684014,-682.5386886933884,22
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.2,2.8,36,8,False,0.1,531,0.5969868173258004,155.70915008345324,-115.07676856317673,2.0043426366732136,46.578855186317995,12.0,15.551789077212806,0.3804143126177024,0.5630885122410546,0.0,24733.372103934857,-966.2308555451455,23
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.2,2.8,36,8,True,0.1,531,0.5969868173258004,155.70915008345324,-115.07094565220136,2.0044440620040938,46.58120189620261,12.0,15.514124293785311,0.3804143126177024,0.5630885122410546,0.0,24734.618206883584,-966.2308555451455,24
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.2,3.2,24,4,False,0.1,583,0.5917667238421955,162.66950553413986,-106.44902175984281,2.2151676980625923,52.806367462153794,14.0,16.55917667238422,0.3567753001715266,0.48027444253859347,0.0,30786.11223043566,-833.3446411554032,25
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.2,3.2,24,4,True,0.1,583,0.5917667238421955,162.66950553413986,-106.44378603316748,2.215276657101342,52.808504860007524,14.0,16.524871355060036,0.3567753001715266,0.48027444253859347,0.0,30787.358333384385,-833.3446411554032,26
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.2,3.2,24,8,False,0.1,530,0.5867924528301887,161.03148015613283,-105.44281524040804,2.1687528673392316,50.92229017152442,13.0,15.779245283018868,0.3641509433962264,0.47924528301886793,0.0,26988.813790907945,-835.1328093660268,27
