signal,mode,stop_points,time_exit_h,r_mult,entry_time,exit_time,entry_price,exit_price,gross_points,net_dollars,exit_reason,bear_window_id,hours_from_bear_start,rsi70_context_tag_v3,stall_or_reject_tag_v3
signal_v3_A_core,stop_time,200.0,24,,2024-03-28 14:00:00+00:00,2024-04-01 14:00:00+00:00,18749.0,18729.0,20.0,38.5,time_exit_24h,9.0,110.0,0,0
signal_v3_A_core,stop_time,200.0,48,,2024-03-28 14:00:00+00:00,2024-04-02 15:00:00+00:00,18749.0,18479.25,269.75,538.0,time_exit_48h,9.0,110.0,0,0
signal_v3_A_core,stop_target,200.0,48,1.0,2024-03-28 14:00:00+00:00,2024-03-30 23:00:00+00:00,18749.0,18547.0,202.0,402.5,target_1.0R,9.0,110.0,0,0
signal_v3_A_core,stop_target,200.0,48,1.5,2024-03-28 14:00:00+00:00,2024-04-02 14:00:00+00:00,18749.0,18447.0,302.0,602.5,target_1.5R,9.0,110.0,0,0
signal_v3_A_core,stop_target,200.0,48,2.0,2024-03-28 14:00:00+00:00,2024-04-02 15:00:00+00:00,18749.0,18479.25,269.75,538.0,time_exit_48h,9.0,110.0,0,0
signal_v3_A_core,stop_time,300.0,6,,2024-03-28 14:00:00+00:00,2024-03-28 20:00:00+00:00,18749.0,18711.5,37.5,73.5,time_exit_6h,9.0,110.0,0,0
signal_v3_A_core,stop_time,300.0,12,,2024-03-28 14:00:00+00:00,2024-04-01 02:00:00+00:00,18749.0,18819.75,-70.75,-143.0,time_exit_12h,9.0,110.0,0,0
signal_v3_A_core,stop_time,300.0,24,,2024-03-28 14:00:00+00:00,2024-04-01 14:00:00+00:00,18749.0,18729.0,20.0,38.5,time_exit_24h,9.0,110.0,0,0
signal_v3_A_core,stop_time,300.0,48,,2024-03-28 14:00:00+00:00,2024-04-02 15:00:00+00:00,18749.0,18479.25,269.75,538.0,time_exit_48h,9.0,110.0,0,0
signal_v3_A_core,stop_target,300.0,48,1.0,2024-03-28 14:00:00+00:00,2024-04-02 14:00:00+00:00,18749.0,18447.0,302.0,602.5,target_1.0R,9.0,110.0,0,0
signal_v3_A_core,stop_target,300.0,48,1.5,2024-03-28 14:00:00+00:00,2024-04-02 15:00:00+00:00,18749.0,18479.25,269.75,538.0,time_exit_48h,9.0,110.0,0,0
signal_v3_A_core,stop_target,300.0,48,2.0,2024-03-28 14:00:00+00:00,2024-04-02 15:00:00+00:00,18749.0,18479.25,269.75,538.0,time_exit_48h,9.0,110.0,0,0
signal_v3_A_core,stop_time,400.0,6,,2024-03-28 14:00:00+00:00,2024-03-28 20:00:00+00:00,18749.0,18711.5,37.5,73.5,time_exit_6h,9.0,110.0,0,0
signal_v3_A_core,stop_time,400.0,12,,2024-03-28 14:00:00+00:00,2024-04-01 02:00:00+00:00,18749.0,18819.75,-70.75,-143.0,time_exit_12h,9.0,110.0,0,0
signal_v3_A_core,stop_time,400.0,24,,2024-03-28 14:00:00+00:00,2024-04-01 14:00:00+00:00,18749.0,18729.0,20.0,38.5,time_exit_24h,9.0,110.0,0,0
signal_v3_A_core,stop_time,400.0,48,,2024-03-28 14:00:00+00:00,2024-04-02 15:00:00+00:00,18749.0,18479.25,269.75,538.0,time_exit_48h,9.0,110.0,0,0
signal_v3_A_core,stop_target,400.0,48,1.0,2024-03-28 14:00:00+00:00,2024-04-02 15:00:00+00:00,18749.0,18479.25,269.75,538.0,time_exit_48h,9.0,110.0,0,0
signal_v3_A_core,stop_target,400.0,48,1.5,2024-03-28 14:00:00+00:00,2024-04-02 15:00:00+00:00,18749.0,18479.25,269.75,538.0,time_exit_48h,9.0,110.0,0,0
signal_v3_A_core,stop_target,400.0,48,2.0,2024-03-28 14:00:00+00:00,2024-04-02 15:00:00+00:00,18749.0,18479.25,269.75,538.0,time_exit_48h,9.0,110.0,0,0
signal_v3_A_core,stop_time,200.0,6,,2024-07-12 15:00:00+00:00,2024-07-13 15:00:00+00:00,20810.75,20541.75,269.0,536.5,time_exit_6h,10.0,63.0,0,0
