time,open,high,low,close,tick_volume,spread,real_volume
2026-03-16 05:00:00+00:00,24506.5,24562.0,24506.0,24560.0,10376,25,11552
2026-03-16 06:00:00+00:00,24559.75,24568.0,24536.0,24565.25,8856,25,9632
2026-03-16 07:00:00+00:00,24564.5,24585.25,24504.0,24513.75,16250,25,17894
2026-03-16 08:00:00+00:00,24513.0,24570.5,24497.25,24528.5,20282,0,23559
2026-03-16 09:00:00+00:00,24528.5,24536.75,24478.0,24491.75,14827,25,17830
2026-03-16 10:00:00+00:00,24491.25,24614.0,24487.5,24604.25,20314,0,24016
2026-03-16 11:00:00+00:00,24604.0,24636.75,24576.5,24625.75,18356,25,21636
2026-03-16 12:00:00+00:00,24624.75,24689.75,24624.25,24658.0,26941,0,32079
2026-03-16 13:00:00+00:00,24658.25,24744.25,24623.0,24736.75,103369,25,119065
2026-03-16 14:00:00+00:00,24736.0,24765.75,24602.25,24694.5,134371,0,154978
2026-03-16 15:00:00+00:00,24694.75,24739.75,24647.0,24675.5,71114,0,81691
2026-03-16 16:00:00+00:00,24675.25,24704.0,24617.25,24674.0,64705,0,75263
2026-03-16 17:00:00+00:00,24674.0,24727.25,24652.0,24681.5,49343,0,57241
2026-03-16 18:00:00+00:00,24682.75,24735.5,24676.5,24704.75,36418,25,42329
2026-03-16 19:00:00+00:00,24704.0,24816.25,24636.5,24669.0,70065,0,84139
2026-03-16 20:00:00+00:00,24669.75,24685.25,24640.25,24659.5,12095,25,15197
2026-03-16 22:00:00+00:00,24660.0,24666.5,24619.25,24624.0,6789,25,7792
2026-03-16 23:00:00+00:00,24623.75,24667.75,24622.25,24666.5,5911,25,6592
2026-03-17 00:00:00+00:00,24666.75,24667.75,24590.0,24600.25,10321,25,11252
2026-03-17 01:00:00+00:00,24600.25,24634.0,24597.0,24623.0,7546,25,8238
2026-03-17 02:00:00+00:00,24621.25,24625.5,24572.5,24578.5,5542,25,6381
2026-03-17 03:00:00+00:00,24579.0,24598.5,24566.75,24579.25,5193,25,5751
2026-03-17 04:00:00+00:00,24577.75,24635.75,24575.75,24623.0,3919,25,4527
2026-03-17 05:00:00+00:00,24623.0,24640.75,24540.5,24544.0,5440,25,6070
2026-03-17 06:00:00+00:00,24544.0,24563.0,24517.5,24543.25,7811,25,8817
2026-03-17 07:00:00+00:00,24540.75,24604.75,24525.0,24559.25,7240,25,8015
2026-03-17 08:00:00+00:00,24557.75,24596.75,24526.5,24555.75,7586,0,8491
2026-03-17 09:00:00+00:00,24557.75,24636.75,24557.75,24630.5,5958,25,6819
2026-03-17 10:00:00+00:00,24630.0,24632.25,24579.75,24620.75,4335,25,5067
2026-03-17 11:00:00+00:00,24619.0,24646.0,24597.5,24599.5,6354,25,7415
2026-03-17 12:00:00+00:00,24600.0,24724.5,24598.25,24716.25,11585,0,13535
2026-03-17 13:00:00+00:00,24715.75,24896.75,24713.25,24874.25,41519,0,46703
2026-03-17 14:00:00+00:00,24874.25,24882.0,24778.5,24857.25,41144,0,45911
2026-03-17 15:00:00+00:00,24857.25,24870.25,24727.0,24773.25,29549,0,32500
2026-03-17 16:00:00+00:00,24775.0,24809.75,24730.75,24779.25,19133,0,21432
2026-03-17 17:00:00+00:00,24780.0,24826.5,24777.5,24817.25,12202,25,13507
2026-03-17 18:00:00+00:00,24818.0,24841.75,24772.75,24785.25,11083,25,12430
2026-03-17 19:00:00+00:00,24785.75,24809.5,24763.25,24792.0,12546,25,14144
2026-03-17 20:00:00+00:00,24791.0,24813.0,24784.75,24804.0,4683,25,5507
2026-03-17 22:00:00+00:00,24810.0,24810.0,24771.75,24786.25,3153,25,3799
2026-03-17 23:00:00+00:00,24786.75,24805.25,24775.75,24784.0,2846,25,3052
2026-03-18 00:00:00+00:00,24784.25,24863.25,24778.75,24860.5,4780,25,5260
2026-03-18 01:00:00+00:00,24862.25,24879.25,24861.25,24876.75,3311,25,3738
2026-03-18 02:00:00+00:00,24877.0,24910.0,24874.75,24899.25,3922,25,4553
2026-03-18 03:00:00+00:00,24898.25,24925.25,24887.25,24917.25,2303,25,2545
2026-03-18 04:00:00+00:00,24917.25,24928.25,24910.5,24920.25,2041,25,2413
2026-03-18 05:00:00+00:00,24920.5,24950.0,24915.0,24947.5,2528,25,2929
2026-03-18 06:00:00+00:00,24948.5,24990.0,24945.75,24962.75,3677,25,4274
2026-03-18 07:00:00+00:00,24962.25,24967.25,24938.0,24940.5,2694,25,3126
2026-03-18 08:00:00+00:00,24940.0,24965.5,24933.0,24950.75,2591,25,2939
2026-03-18 09:00:00+00:00,24951.25,24970.0,24938.5,24948.25,2246,25,2495
2026-03-18 10:00:00+00:00,24949.25,24977.0,24938.25,24942.0,2617,25,2902
2026-03-18 11:00:00+00:00,24940.75,24956.75,24877.75,24894.0,6581,25,7422
2026-03-18 12:00:00+00:00,24893.0,24898.75,24652.0,24663.0,16590,0,19392
2026-03-18 13:00:00+00:00,24663.0,24779.5,24645.5,24749.5,25897,25,28126
2026-03-18 14:00:00+00:00,24749.5,24765.0,24594.75,24665.25,25444,25,27712
2026-03-18 15:00:00+00:00,24666.0,24714.75,24643.0,24680.25,16980,25,18833
2026-03-18 16:00:00+00:00,24679.75,24693.25,24613.0,24628.0,10603,25,11597
2026-03-18 17:00:00+00:00,24626.75,24668.0,24578.0,24655.25,8532,25,9292
2026-03-18 18:00:00+00:00,24660.75,24697.0,24524.5,24527.25,15897,0,17603
2026-03-18 19:00:00+00:00,24526.0,24584.5,24424.25,24434.25,14622,0,16594
2026-03-18 20:00:00+00:00,24435.25,24468.25,24349.5,24391.25,5815,25,6799
2026-03-18 22:00:00+00:00,24393.25,24411.75,24346.5,24380.0,2174,25,2715
2026-03-18 23:00:00+00:00,24380.25,24428.0,24378.0,24406.0,2904,25,3302
2026-03-19 00:00:00+00:00,24405.0,24428.5,24371.0,24404.75,3316,25,3584
2026-03-19 01:00:00+00:00,24405.25,24454.25,24390.0,24425.25,1646,25,1850
2026-03-19 02:00:00+00:00,24425.0,24507.75,24386.25,24480.25,2849,25,3216
2026-03-19 03:00:00+00:00,24481.5,24498.75,24448.75,24448.75,1347,25,1522
2026-03-19 04:00:00+00:00,24448.0,24448.5,24395.25,24415.25,1696,25,1886
2026-03-19 05:00:00+00:00,24414.0,24432.25,24363.0,24380.0,1706,25,2003
2026-03-19 06:00:00+00:00,24382.25,24424.5,24358.25,24389.5,1800,25,2062
2026-03-19 07:00:00+00:00,24393.0,24411.25,24327.5,24342.25,2525,25,2834
2026-03-19 08:00:00+00:00,24345.75,24378.75,24292.0,24332.0,3067,25,3500
2026-03-19 09:00:00+00:00,24337.25,24436.25,24287.25,24413.75,3751,25,4424
2026-03-19 10:00:00+00:00,24415.75,24415.75,24356.5,24376.75,1730,25,1968
2026-03-19 11:00:00+00:00,24376.75,24397.75,24294.5,24330.5,2683,25,3076
2026-03-19 12:00:00+00:00,24335.75,24343.25,24208.25,24231.75,5584,25,6581
2026-03-19 13:00:00+00:00,24234.75,24308.5,24113.75,24294.0,18866,25,21076
2026-03-19 14:00:00+00:00,24294.25,24333.0,24195.5,24276.5,19442,25,20917
2026-03-19 15:00:00+00:00,24276.0,24364.25,24187.5,24261.75,13123,25,14310
2026-03-19 16:00:00+00:00,24262.0,24309.75,24211.0,24242.0,7906,25,8482
2026-03-19 17:00:00+00:00,24242.0,24268.5,24166.5,24244.25,6173,25,6748
2026-03-19 18:00:00+00:00,24239.25,24310.5,24208.25,24294.0,5400,25,5853
2026-03-19 19:00:00+00:00,24296.75,24475.0,24292.75,24360.0,11913,0,14471
2026-03-19 20:00:00+00:00,24359.75,24423.5,24348.5,24398.5,1299,25,1844
2026-03-19 22:00:00+00:00,24390.0,24438.0,24386.25,24421.5,601,25,973
2026-03-19 23:00:00+00:00,24424.0,24443.75,24389.5,24402.5,551,25,927
2026-03-20 00:00:00+00:00,24620.25,24642.75,24582.25,24598.0,30228,25,34904
2026-03-20 01:00:00+00:00,24599.0,24660.75,24590.0,24617.5,28459,0,33137
2026-03-20 02:00:00+00:00,24618.0,24642.0,24611.25,24620.5,14051,25,16218
2026-03-20 03:00:00+00:00,24620.75,24629.0,24597.75,24610.75,12475,25,14567
2026-03-20 04:00:00+00:00,24611.0,24622.25,24584.75,24586.0,9644,25,11580
2026-03-20 05:00:00+00:00,24586.0,24603.5,24559.0,24592.25,14287,25,16613
2026-03-20 06:00:00+00:00,24592.25,24604.5,24519.0,24526.75,18053,25,20752
2026-03-20 07:00:00+00:00,24526.75,24608.25,24482.75,24594.0,32800,25,37479
2026-03-20 08:00:00+00:00,24593.75,24616.5,24553.25,24558.5,37616,0,42572
2026-03-20 09:00:00+00:00,24559.5,24585.5,24408.0,24431.5,52583,0,62176
2026-03-20 10:00:00+00:00,24431.75,24440.5,24319.0,24407.25,63487,0,74075
2026-03-20 11:00:00+00:00,24407.25,24468.25,24397.5,24443.5,46627,0,53933
2026-03-20 12:00:00+00:00,24443.75,24502.0,24425.5,24496.75,63619,25,76160
2026-03-20 13:00:00+00:00,24496.0,24527.25,24279.5,24285.5,235391,0,263196
2026-03-20 14:00:00+00:00,24285.75,24328.75,24231.5,24270.5,265479,0,293534
2026-03-20 15:00:00+00:00,24270.5,24343.5,24236.75,24311.75,182311,0,201564
2026-03-20 16:00:00+00:00,24313.0,24359.0,24235.25,24272.5,143846,0,158729
2026-03-20 17:00:00+00:00,24272.25,24292.25,24164.5,24212.25,135386,0,151593
2026-03-20 18:00:00+00:00,24211.75,24222.25,24073.25,24094.5,141355,0,157456
2026-03-20 19:00:00+00:00,24094.75,24118.75,23970.75,24114.25,180757,0,203347
2026-03-20 20:00:00+00:00,24114.0,24219.75,24095.5,24217.0,52037,0,58817
2026-03-21 19:00:00+00:00,24217.0,24217.0,24217.0,24217.0,1,4000,1
2026-03-21 20:00:00+00:00,24217.0,24217.0,24217.0,24217.0,1,4000,1
2026-03-22 05:00:00+00:00,24217.0,24217.0,24217.0,24217.0,1,4000,1
2026-03-22 08:00:00+00:00,24217.0,24217.0,24217.0,24217.0,1,4000,1
2026-03-22 18:00:00+00:00,24217.0,24217.0,24217.0,24217.0,1,4000,1
2026-03-22 22:00:00+00:00,23914.0,24095.75,23888.0,24044.25,66431,0,79202
2026-03-22 23:00:00+00:00,24045.0,24084.25,23975.0,24006.0,41681,25,47194
2026-03-23 00:00:00+00:00,24006.75,24090.25,23940.5,23950.0,70777,0,79373
2026-03-23 01:00:00+00:00,23950.0,24072.75,23936.0,24044.0,52142,0,59082
2026-03-23 02:00:00+00:00,24044.75,24068.5,23989.25,24009.25,35756,25,40964
2026-03-23 03:00:00+00:00,24009.25,24027.0,23949.75,23953.25,30657,25,35154
2026-03-23 04:00:00+00:00,23953.25,24004.25,23945.75,23996.5,20867,0,24139
2026-03-23 05:00:00+00:00,23997.0,24033.5,23933.75,23973.5,31897,0,37257
2026-03-23 06:00:00+00:00,23973.5,23976.5,23826.5,23855.0,39739,25,44867
2026-03-23 07:00:00+00:00,23856.0,23915.25,23772.75,23841.25,56665,0,63988
2026-03-23 08:00:00+00:00,23841.5,23955.5,23839.75,23931.25,55519,0,63837
2026-03-23 09:00:00+00:00,23932.25,23971.25,23844.75,23883.0,44407,25,51708
2026-03-23 10:00:00+00:00,23883.25,23929.25,23815.75,23881.0,46838,25,54436
2026-03-23 11:00:00+00:00,23881.0,24763.5,23876.25,24392.5,133979,0,163631
2026-03-23 12:00:00+00:00,24391.75,24621.0,24344.5,24609.0,106117,0,117773
2026-03-23 13:00:00+00:00,24609.5,24643.0,24432.5,24600.0,237659,0,261747
2026-03-23 14:00:00+00:00,24600.25,24690.0,24527.0,24610.75,251997,0,280209
2026-03-23 15:00:00+00:00,24611.0,24689.0,24370.75,24381.5,229636,0,249875
2026-03-23 16:00:00+00:00,24381.75,24466.5,24305.0,24368.5,183622,0,199055
2026-03-23 17:00:00+00:00,24368.75,24474.25,24311.5,24467.75,126631,0,138837
2026-03-23 18:00:00+00:00,24468.25,24537.0,24416.5,24514.75,110854,0,120989
2026-03-23 19:00:00+00:00,24514.5,24517.5,24398.5,24399.75,97980,0,108033
2026-03-23 20:00:00+00:00,24400.0,24434.25,24357.75,24400.25,36608,25,40202
2026-03-23 22:00:00+00:00,24408.25,24490.0,24377.0,24482.0,24861,0,27819
2026-03-23 23:00:00+00:00,24482.25,24483.5,24426.0,24456.25,22251,0,24349
2026-03-24 00:00:00+00:00,24454.75,24457.75,24267.5,24324.25,62159,0,68341
2026-03-24 01:00:00+00:00,24325.0,24326.75,24225.5,24264.0,47892,25,52880
2026-03-24 02:00:00+00:00,24263.0,24294.5,24222.75,24249.25,33516,25,37964
2026-03-24 03:00:00+00:00,24249.75,24282.25,24230.75,24276.0,21564,25,24685
2026-03-24 04:00:00+00:00,24276.75,24307.25,24240.5,24257.25,19657,25,22256
2026-03-24 05:00:00+00:00,24258.0,24305.5,24193.5,24262.0,32586,25,37126
2026-03-24 06:00:00+00:00,24262.25,24395.5,24259.25,24377.5,29302,0,33015
2026-03-24 07:00:00+00:00,24377.0,24507.0,24371.5,24467.25,48916,0,54989
2026-03-24 08:00:00+00:00,24466.5,24491.25,24361.75,24377.0,51230,0,58616
2026-03-24 09:00:00+00:00,24378.75,24430.0,24304.5,24420.5,43150,0,52044
2026-03-24 10:00:00+00:00,24421.0,24434.25,24368.5,24407.0,33399,0,37031
2026-03-24 11:00:00+00:00,24406.5,24424.5,24296.5,24383.25,46056,25,50481
2026-03-24 12:00:00+00:00,24383.5,24398.0,24264.75,24279.75,60404,0,66142
2026-03-24 13:00:00+00:00,24279.5,24317.0,24134.75,24216.0,237244,0,257681
2026-03-24 14:00:00+00:00,24215.75,24343.5,24175.75,24244.0,337074,0,366263
2026-03-24 15:00:00+00:00,24244.0,24384.75,24240.25,24296.0,204431,0,226090
2026-03-24 16:00:00+00:00,24296.0,24346.25,24243.75,24281.0,140520,0,155049
2026-03-24 17:00:00+00:00,24280.75,24295.0,24160.25,24242.5,164155,0,178737
2026-03-24 18:00:00+00:00,24242.25,24349.0,24208.75,24274.75,137247,0,150751
2026-03-24 19:00:00+00:00,24276.0,24319.5,24189.25,24217.25,113556,0,126124
2026-03-24 20:00:00+00:00,24217.75,24547.75,24214.25,24403.5,102476,0,114143
2026-03-24 22:00:00+00:00,24422.5,24457.5,24379.75,24426.5,26913,0,32497
2026-03-24 23:00:00+00:00,24426.25,24443.75,24402.0,24413.0,20020,25,22856
2026-03-25 00:00:00+00:00,24414.0,24494.0,24383.25,24448.75,44801,25,51671
2026-03-25 01:00:00+00:00,24448.25,24468.25,24392.25,24396.5,30073,25,34861
2026-03-25 02:00:00+00:00,24396.75,24400.5,24333.75,24337.0,29470,25,34032
2026-03-25 03:00:00+00:00,24337.25,24389.25,24320.25,24380.25,20246,25,23765
2026-03-25 04:00:00+00:00,24380.75,24423.0,24375.5,24418.75,15234,0,18208
